audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	NL	Netherlands	6401	1453	20432717	8324118	153614	32737
m18_24	male (18-24)	NL	Netherlands	6188	1412	17878363	7263626	135438	27850
m25_34	male (25-34)	NL	Netherlands	6906	1560	14695079	5805195	116406	23475
f25_34	female (25-34)	NL	Netherlands	7250	1613	14460997	5695377	117184	23335
f45_54	female (45-54)	NL	Netherlands	6556	1512	11564455	4530832	106018	21731
f35_44	female (35-44)	NL	Netherlands	7057	1582	10752810	4231584	92960	18671
f55_64	female (55-64)	NL	Netherlands	5664	1404	9618661	3643124	93477	18595
m35_44	male (35-44)	NL	Netherlands	6674	1519	9219395	3634722	75780	14842
m45_54	male (45-54)	NL	Netherlands	6160	1458	9180601	3594080	77902	14842
f65_	female (65+)	NL	Netherlands	5085	1249	7998084	3031215	73066	14475
m55_64	male (55-64)	NL	Netherlands	5374	1360	6680914	2502954	62250	11522
m65_	male (65+)	NL	Netherlands	4881	1214	5173863	1911669	47835	8761
f13_17	female (13-17)	NL	Netherlands	953	271	2647728	1178447	7160	1316
m13_17	male (13-17)	NL	Netherlands	978	260	1983301	881912	5723	898
u35_44	unknown (35-44)	NL	Netherlands	5211	1279	142482	53994	1255	233
u25_34	unknown (25-34)	NL	Netherlands	5079	1257	118224	44372	1043	186
u45_54	unknown (45-54)	NL	Netherlands	4568	1169	96908	36526	877	162
u18_24	unknown (18-24)	NL	Netherlands	4013	1029	70162	26629	649	109
u55_64	unknown (55-64)	NL	Netherlands	3528	1028	50476	18111	536	91
u65_	unknown (65+)	NL	Netherlands	3251	935	42514	15199	402	71
u13_17	unknown (13-17)	NL	Netherlands	576	203	9100	4046	26	4
