region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
alytus_county	Alytus County	LT	Lithuania	1541	349	221682	68155	623	42
kaunas_county	Kaunas County	LT	Lithuania	2181	523	1772395	609876	8468	731
klaipeda_county	Klaipėda County	LT	Lithuania	1931	451	921920	267633	4144	222
marijampole_county	Marijampolė County	LT	Lithuania	1532	349	204527	89012	594	42
panevezys_county	Panevėžys County	LT	Lithuania	1675	393	321379	110208	911	102
taurage_county	Tauragė County	LT	Lithuania	1412	318	71097	28608	287	21
telsiai_county	Telšiai County	LT	Lithuania	1539	363	160570	62556	716	53
utena_county	Utena County	LT	Lithuania	1520	348	221802	59382	664	24
vilnius_county	Vilnius County	LT	Lithuania	2440	589	5139497	1598525	23558	1855
siauliai_county	Šiauliai County	LT	Lithuania	1778	428	527978	202471	2970	202
