spend_code	spend_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	RO	Romania	5799	1300	45654332	12288745	99205	842
50_100	50 - 100	RO	Romania	3436	932	40479127	14381303	61092	11998
100_1k	100 - 1k	RO	Romania	2522	521	201893156	87658619	348650	93209
1k_5k	1k - 5k	RO	Romania	433	71	89088652	41266799	254785	61933
5k_10k	5k - 10k	RO	Romania	8	8	1031443	515722	11507	2331
10k_50k	10k - 50k	RO	Romania	3	3	957277	478639	11021	2204
