country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	9113	1286	114461007	39406920	1094626	146140
BE	Belgium	9565	1928	228325051	86763352	1547585	257380
BG	Bulgaria	2308	670	20320941	7957482	72647	10365
HR	Croatia	2475	671	26701066	9842803	101180	10755
CY	Cyprus	1581	420	16058468	5096129	67442	4674
CZ	Czechia	4617	866	55300483	19093633	204718	50726
DK	Denmark	7183	1294	64281028	19708103	600407	136048
EE	Estonia	1892	480	10560854	3770298	57677	6314
FI	Finland	4830	1098	59531295	20961565	579779	94529
FR	France	10869	2829	202021318	77791086	1654341	278276
DE	Germany	27808	3712	284438757	90747958	3299253	276206
EL	Greece	6210	1232	148818096	53257179	599962	55116
HU	Hungary	4505	1413	119084088	48618650	292593	94822
IE	Ireland	4128	1063	44505534	17056862	301602	44606
IT	Italy	14334	4312	329843422	119971986	1752061	178853
LV	Latvia	2056	532	13732196	4637859	67535	7873
LT	Lithuania	2372	591	28436191	10816300	111749	15176
LU	Luxembourg	2789	670	12463684	3962718	73838	5585
MT	Malta	3729	712	33531979	11178417	198097	12994
NL	Netherlands	5864	1417	89445179	34457557	736211	136277
PL	Poland	6058	1476	107416146	39688370	297105	53336
PT	Portugal	4074	1064	46535900	18534806	167683	26460
RO	Romania	4753	1133	203771601	84097931	431379	94236
SK	Slovakia	5350	740	69856686	23326245	478944	37688
SI	Slovenia	2210	571	15521624	5650109	74968	8860
ES	Spain	22354	1827	507313202	193201246	3709582	494549
SE	Sweden	8372	1638	127888916	43209626	1070310	262588
UK	United Kingdom	51840	5003	857071392	290447544	10555308	1424965
