region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
alytus_county	Alytus County	LT	Lithuania	257	47	154470	69276	956	132
kaunas_county	Kaunas County	LT	Lithuania	312	49	1261328	476028	5694	1029
klaipeda_county	Klaipėda County	LT	Lithuania	303	50	459792	170058	2030	293
marijampole_county	Marijampolė County	LT	Lithuania	265	48	212360	63311	1007	144
panevezys_county	Panevėžys County	LT	Lithuania	295	48	150336	51273	524	89
taurage_county	Tauragė County	LT	Lithuania	246	42	80802	20694	431	16
telsiai_county	Telšiai County	LT	Lithuania	248	46	94977	30812	346	43
utena_county	Utena County	LT	Lithuania	258	46	95046	27890	795	119
vilnius_county	Vilnius County	LT	Lithuania	338	54	3414110	1312476	17116	3134
siauliai_county	Šiauliai County	LT	Lithuania	297	49	390501	155680	2012	261
