gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	201580	24829	2655982194	969136864	19826093	2886424
m	male	194832	24270	2868800776	1046658095	20389771	2936298
u	unknown	154405	22357	34796121	12221032	328552	48993
