country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CY	Cyprus	m25_34	male (25-34)	1734	427	3488700	1186165	15051	1435
CY	Cyprus	m18_24	male (18-24)	1607	396	2900886	1004752	11280	1202
CY	Cyprus	m35_44	male (35-44)	1698	420	2748540	895570	12009	986
CY	Cyprus	m45_54	male (45-54)	1639	408	2196262	683238	9871	631
CY	Cyprus	f25_34	female (25-34)	1809	448	2056951	735827	9291	1118
CY	Cyprus	f35_44	female (35-44)	1766	437	1907932	661065	8677	912
CY	Cyprus	f18_24	female (18-24)	1667	414	1830785	664180	7143	904
CY	Cyprus	m55_64	male (55-64)	1509	380	1761006	499605	7606	282
CY	Cyprus	f45_54	female (45-54)	1709	424	1617341	530938	7097	604
CY	Cyprus	f55_64	female (55-64)	1567	393	1344455	396274	5489	260
