country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LU	Luxembourg	w019	Week 19	2019-05-06	2019-05-12	427	93	4273335	1589303	20976	1790
LU	Luxembourg	w018	Week 18	2019-04-29	2019-05-05	475	113	2870853	937188	15492	1196
LU	Luxembourg	w017	Week 17	2019-04-22	2019-04-28	460	110	1040316	372290	6275	498
LU	Luxembourg	w016	Week 16	2019-04-15	2019-04-21	498	146	664950	186368	4351	397
LU	Luxembourg	w015	Week 15	2019-04-08	2019-04-14	721	241	1682341	446055	8263	329
LU	Luxembourg	w014	Week 14	2019-04-01	2019-04-07	623	229	995389	246915	7166	144
LU	Luxembourg	w013	Week 13	2019-03-25	2019-03-31	527	207	1722666	611314	12287	938
LU	Luxembourg	w012	Week 12	2019-03-18	2019-03-24	393	176	1238723	484892	7073	1036
LU	Luxembourg	w011	Week 11	2019-03-11	2019-03-17	258	108	541950	173349	2474	458
LU	Luxembourg	w010	Week 10	2019-03-04	2019-03-10	250	88	375650	110258	2387	129
LU	Luxembourg	w009	Week 9	2019-02-25	2019-03-03	126	56	267233	65634	1449	124
LU	Luxembourg	w008	Week 8	2019-02-18	2019-02-24	102	51	171380	46287	818	28
LU	Luxembourg	w007	Week 7	2019-02-11	2019-02-17	72	35	116549	32001	436	20
LU	Luxembourg	w006	Week 6	2019-02-04	2019-02-10	76	33	136413	42478	490	27
LU	Luxembourg	w005	Week 5	2019-01-28	2019-02-03	89	29	95610	25547	258	20
LU	Luxembourg	w004	Week 4	2019-01-21	2019-01-27	69	26	40560	18057	451	16
LU	Luxembourg	w003	Week 3	2019-01-14	2019-01-20	72	25	25933	11682	186	8
LU	Luxembourg	w002	Week 2	2019-01-07	2019-01-13	55	22	3956	1175	12	1
LU	Luxembourg	w001	Week 1	2019-01-01	2019-01-06	40	16	5899	2764	18	3
