recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	MT	Malta	245	56	655419	203006	4449	154
rd2	Last 2 days	2019-05-06	2019-05-07	MT	Malta	289	58	1486987	461432	10113	333
rd3	Last 3 days	2019-05-05	2019-05-07	MT	Malta	319	61	2413627	766486	15305	576
rd4	Last 4 days	2019-05-04	2019-05-07	MT	Malta	361	66	3480101	1112187	21074	870
rd5	Last 5 days	2019-05-03	2019-05-07	MT	Malta	411	73	4492079	1426992	26226	1089
rd6	Last 6 days	2019-05-02	2019-05-07	MT	Malta	471	79	5528523	1733124	31534	1422
rw1	Last week	2019-05-01	2019-05-07	MT	Malta	512	83	6457148	2006386	35627	1610
rw2	Last 2 weeks	2019-04-24	2019-05-07	MT	Malta	852	129	11447581	3682867	57990	2764
rw3	Last 3 weeks	2019-04-17	2019-05-07	MT	Malta	1068	177	12801254	4095271	66799	3009
rw4	Last 4 weeks	2019-04-10	2019-05-07	MT	Malta	1399	262	14596780	4671843	76311	3440
rm1	Last month	2019-04-08	2019-05-07	MT	Malta	1493	303	15209517	4843839	79481	3574
rm2	Last 2 months	2019-03-09	2019-05-07	MT	Malta	2307	528	21175622	6924955	107349	5681
rm3	Last 3 months	2019-02-07	2019-05-07	MT	Malta	2660	579	25456296	8545081	131692	8420
rm6	Last 6 months	2019-01-01	2019-05-07	MT	Malta	2855	602	28079986	9439445	150620	10846
