country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BG	Bulgaria	d132	2019-05-12	244	68	1200031	352780	4460	174
BG	Bulgaria	d131	2019-05-11	267	68	1218640	364047	4161	183
BG	Bulgaria	d130	2019-05-10	268	70	1216954	388145	4825	236
BG	Bulgaria	d129	2019-05-09	241	69	989513	333064	3360	197
BG	Bulgaria	d128	2019-05-08	239	66	590152	188372	2391	104
BG	Bulgaria	d127	2019-05-07	228	67	404660	140187	1695	94
BG	Bulgaria	d126	2019-05-06	226	65	392822	138554	1745	96
BG	Bulgaria	d125	2019-05-05	233	71	815173	289732	2074	108
BG	Bulgaria	d124	2019-05-04	243	72	642203	214496	2121	121
BG	Bulgaria	d123	2019-05-03	251	74	505685	186981	1692	100
