advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	g	Google	251	1	193400000	19230000	1157600	22600
Future Innovation SRL		AR474748779908562944	Google	g	Google	43	1	183040000	18300000	695950	12050
AMERISOFT SRL		AR573801583431647232	Google	g	Google	216	1	161730000	16090000	17550	750
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	g	Google	42	1	141810000	14180000	729050	41900
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	g	Google	89	1	128240000	12780000	648250	12150
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	g	Google	850	1	68980000	6270000	95400	3050
Freiheitliche Partei Österreich		AR333020356698701824	Google	g	Google	51	1	58290000	5800000	486300	37500
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	g	Google	126	1	56520000	5590000	170000	4050
COALICION CANARIA		AR489541609348661248	Google	g	Google	3716	1	56060000	1990000	221600	1150
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	g	Google	176	1	42620000	4230000	8800	0
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	g	Google	83	1	41600000	4100000	432000	7950
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	g	Google	120	1	33150000	3240000	10050	450
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	g	Google	143	1	27800000	2710000	9850	300
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	g	Google	110	1	23150000	2300000	237650	6000
Partido Animalista PACMA		AR145115193901318144	Google	g	Google	6	1	23010000	2300000	120550	2050
Partido Popular Regional De Canarias		AR288284801977286656	Google	g	Google	139	1	22360000	2170000	12800	650
KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	g	Google	1489	1	21100000	690000	80300	650
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	g	Google	118	1	20440000	1960000	7700	200
Suomen Keskusta r.p.		AR441112520191639552	Google	g	Google	34	1	20050000	1990000	305250	5450
Alternativet		AR198061076825243648	Google	g	Google	11	1	17210000	1720000	34100	900
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	g	Google	4	1	12100000	1210000	61000	1100
HLAS		AR312619193323225088	Google	g	Google	618	1	11490000	590000	40800	1100
SOCIALDEMOKRATIET		AR271193993235136512	Google	g	Google	18	1	10800000	1080000	333500	5850
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	g	Google	130	1	10300000	950000	10100	400
Liberal Alliance		AR183859784640888832	Google	g	Google	100	1	10000000	940000	204050	5150
