advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	1804	1	254757196	113542000	1304775	323939
Podemos	Unidas Podemos	269212336568846	Facebook	f	Facebook	331	1	104971669	46949000	622569	162000
People's Vote UK	People's Vote	748608695327755	Facebook	f	Facebook	3557	1	96126443	33179000	1262196	226114
Ciudadanos	Ciudadanos	74078667754	Facebook	f	Facebook	6245	1	91000755	27833000	886755	68300
Britain's Future	Britain's Future	1625300137516491	Facebook	f	Facebook	4488	1	83742512	25934000	1003644	137011
Kialo		729627343834501	Facebook	f	Facebook	750	1	82368250	32796000	538277	132118
Partido Popular	Partido Popular	72249031214	Facebook	f	Facebook	3644	1	81745356	28177000	586556	61100
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	Facebook	3904	1	53518096	18319000	749275	93269
SPD	SPD	47930567748	Facebook	f	Facebook	8829	1	51438171	14725000	1098371	60100
Conservatives	The Conservative Party	8807334278	Facebook	f	Facebook	2226	1	45617774	17578000	526259	71398
sp.a	sp.a	57253967150	Facebook	f	Facebook	424	1	41703576	16655000	197876	42700
Best For Britain	Best for Britain	1863944713844924	Facebook	f	Facebook	873	1	40579127	17207000	502830	118496
The Labour Party	The Labour Party	25749647410	Facebook	f	Facebook	659	1	38742341	15512000	319431	69778
CDU	CDU	78502295414	Facebook	f	Facebook	3170	1	38647830	9275000	347030	8300
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	Facebook	92	1	36072908	16150000	76648	22250
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	Facebook	2333	1	35845667	12243000	415855	43741
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f	Facebook	184	1	33894816	15393000	95286	21325
FDP	FDP	21289227249	Facebook	f	Facebook	2164	1	31153836	9415000	269736	14700
Greenpeace France		39435457457	Facebook	f	Facebook	131	1	30685869	13883000	154469	35700
European Commission		107898832590939	Facebook	f	Facebook	92	1	30386908	13977000	122608	31200
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	f	Facebook	118	1	28527882	11798000	89582	22800
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	f	Facebook	369	1	28059631	11558000	126531	24200
România în primul rând	Future Innovation	770704223323599	Facebook	f	Facebook	94	1	26914906	11981000	28974	6954
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f	Facebook	66	1	26125934	12008000	176934	39200
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	f	Facebook	136	1	26096864	11180000	41971	10925
