region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
baden_wurttemberg	Baden-Württemberg	DE	Germany	14129	352	20501044	5029452	551287	13385
bayern	Bayern	DE	Germany	11021	282	16947939	5664471	220090	25179
berlin	Berlin	DE	Germany	8621	244	7505877	2285741	71530	8475
brandenburg	Brandenburg	DE	Germany	7752	249	1716102	338013	40431	591
bremen	Bremen	DE	Germany	9064	211	3186761	740513	96477	1758
hamburg	Hamburg	DE	Germany	8866	243	4069913	1083741	62057	2797
hessen	Hessen	DE	Germany	11838	255	13743704	4049474	268006	12582
mecklenburg_vorpommern	Mecklenburg-Vorpommern	DE	Germany	7780	226	2646591	599232	75689	1538
niedersachsen	Niedersachsen	DE	Germany	12699	261	15338921	3799660	329379	7496
nordrhein_westfalen	Nordrhein-Westfalen	DE	Germany	13751	337	30873696	9084263	507735	17385
rheinland_pfalz	Rheinland-Pfalz	DE	Germany	11668	295	7651166	1605936	238490	2192
saarland	Saarland	DE	Germany	8453	240	4041241	948867	65104	3645
sachsen	Sachsen	DE	Germany	9028	261	6025192	1507444	140424	6303
saxony_anhalt	Saxony-Anhalt	DE	Germany	8267	242	3825774	861811	93784	3709
schleswig_holstein	Schleswig-Holstein	DE	Germany	10115	233	6307382	1476320	148909	2947
thuringen	Thüringen	DE	Germany	8508	240	3865812	920445	80829	3355
