age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	21034	5090	91182584	33662909	398924	36408
18_24	18-24	155928	21699	1059280396	400197823	6592097	961198
25_34	25-34	174767	23593	1155493103	430951675	7942247	1200909
35_44	35-44	177163	23441	906262332	331678880	6699401	1000655
45_54	45-54	173178	22768	794038799	282838484	6353833	908992
55_64	55-64	164996	21587	625476845	217110509	5292818	705161
65_	65+	150320	19625	449120327	153554720	4049804	550716
