advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	m35_44	male (35-44)	4840	1	1060894	189338	38633	0
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	m35_44	male (35-44)	20	1	590185	269894	1817	526
European Parliament	European Parliament	178362315106	Facebook	m35_44	male (35-44)	39	1	543280	237838	3123	975
Gouvernement	Gouvernement	392341217527576	Facebook	m35_44	male (35-44)	10	1	394556	161823	992	250
Fidesz	Fidesz	9844779306	Facebook	m35_44	male (35-44)	18	1	311999	142829	1339	601
Avaaz	Avaaz	8340223883	Facebook	m35_44	male (35-44)	10	1	276296	108946	565	151
INBOX	New Digital Media	369693523475596	Facebook	m35_44	male (35-44)	15	1	275056	118088	390	31
FDP	FDP	21289227249	Facebook	m35_44	male (35-44)	539	1	262485	43081	7404	51
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	m35_44	male (35-44)	19	1	195463	77641	669	185
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	m35_44	male (35-44)	5	1	193603	81154	470	101
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	m35_44	male (35-44)	63	1	187567	77024	431	140
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	m35_44	male (35-44)	712	1	173819	32170	5692	21
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	m35_44	male (35-44)	1	1	168412	84206	84	16
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m35_44	male (35-44)	9	1	151506	75268	2131	750
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	m35_44	male (35-44)	3	1	150317	75158	807	195
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	m35_44	male (35-44)	34	1	144845	54035	532	67
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	m35_44	male (35-44)	18	1	140115	60187	2681	551
The Labour Party	The Labour Party	25749647410	Facebook	m35_44	male (35-44)	10	1	136960	60286	1082	329
Jobbik Magyarországért Mozgalom	Országgyűlés Hivatala Jobbik Frakció	287770891404	Facebook	m35_44	male (35-44)	3	1	136337	57221	301	150
Conservatives	The Conservative Party	8807334278	Facebook	m35_44	male (35-44)	687	1	120273	20139	5083	19
Οι Έλληνες	In Progress	2273336566260671	Facebook	m35_44	male (35-44)	2	1	112159	49101	351	175
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	m35_44	male (35-44)	3	1	105458	41077	1016	199
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	m35_44	male (35-44)	5	1	103351	43710	212	42
Werner Kogler	Die Grünen	133612666671985	Facebook	m35_44	male (35-44)	2	1	95701	37156	956	191
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m35_44	male (35-44)	237	1	93055	21959	3254	0
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	m35_44	male (35-44)	27	1	92902	22690	1164	240
Ομάδα Μνήμης	In Progress	230319800467420	Facebook	m35_44	male (35-44)	1	1	92762	37105	185	92
Cruel	In Progress	1949870255322243	Facebook	m35_44	male (35-44)	1	1	86689	34675	173	86
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m35_44	male (35-44)	5	1	86205	36835	1411	276
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	m35_44	male (35-44)	154	1	85668	50	8469	0
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	m35_44	male (35-44)	12	1	85408	27757	161	0
Harald Vilimsky	FPÖ	547597092025909	Facebook	m35_44	male (35-44)	4	1	80950	28878	147	24
SPÖ	SPÖ	77393060080	Facebook	m35_44	male (35-44)	23	1	76249	27933	1064	191
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	m35_44	male (35-44)	15	1	72439	26290	437	44
Podemos Comunidad de Madrid	Unidas Podemos Izquierda Unida Madrid en Pie	261762710669900	Facebook	m35_44	male (35-44)	1	1	71402	28561	713	142
Open Vld	Open Vld	53668151866	Facebook	m35_44	male (35-44)	29	1	70020	24033	549	70
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	m35_44	male (35-44)	1	1	69036	27614	137	69
In Progress	In Progress	254883792041627	Facebook	m35_44	male (35-44)	1	1	67327	26931	134	67
USR Maramureș	USR Maramureș	1750327845246533	Facebook	m35_44	male (35-44)	1	1	66553	26621	139	27
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	m35_44	male (35-44)	29	1	64962	21020	642	21
Γιώργος Καμίνης	Georgios Kaminis	186974508081005	Facebook	m35_44	male (35-44)	6	1	63368	22956	243	85
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	m35_44	male (35-44)	2	1	62167	27935	149	25
Ivan ŠTEFANEC	KDH	324560137683033	Facebook	m35_44	male (35-44)	3	1	61556	28977	227	45
European Commission	European Commission	107898832590939	Facebook	m35_44	male (35-44)	3	1	60293	28285	122	24
Partido Socialista de la Región de Murcia (PSRM-PSOE)	Partido Socialista de la Región de Murcia 	154616807805	Facebook	m35_44	male (35-44)	17	1	58950	13453	254	0
Reacciona y Actúa	Actúa 	1916676245053161	Facebook	m35_44	male (35-44)	15	1	57297	15707	198	0
Moderaterna	Moderaterna	7719591155	Facebook	m35_44	male (35-44)	19	1	57102	24629	792	175
Jakab Péter	Országgyűlés Hivatala Jobbik Frakció	781150971947219	Facebook	m35_44	male (35-44)	3	1	57086	28543	157	73
Elżbieta Łukacijewska	EPL	271399596270991	Facebook	m35_44	male (35-44)	10	1	56911	19737	234	43
Ρένα Δούρου	Ρένα Δούρου	225197477683663	Facebook	m35_44	male (35-44)	43	1	54171	11421	608	0
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	m35_44	male (35-44)	34	1	53799	16384	368	0
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	m35_44	male (35-44)	6	1	53747	19131	185	28
Carlo Calenda	Siamo Europei	131887960826264	Facebook	m35_44	male (35-44)	1	1	53491	21396	53	10
Romania #nuepsd	Future Innovation	293215748279337	Facebook	m35_44	male (35-44)	1	1	52968	21187	22	11
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	m35_44	male (35-44)	2	1	51231	25615	67	33
