advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	f45_54	female (45-54)	39	1	990434	429485	4951	1338
CDU	CDU	78502295414	Facebook	f45_54	female (45-54)	4714	1	863694	152552	31050	0
Fidesz	Fidesz	9844779306	Facebook	f45_54	female (45-54)	18	1	334719	154114	1543	686
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	f45_54	female (45-54)	19	1	327885	150435	1216	366
FDP	FDP	21289227249	Facebook	f45_54	female (45-54)	544	1	223746	39226	5969	3
Gouvernement	Gouvernement	392341217527576	Facebook	f45_54	female (45-54)	10	1	177984	72672	469	124
Avaaz	Avaaz	8340223883	Facebook	f45_54	female (45-54)	10	1	177806	69029	390	108
Conservatives	The Conservative Party	8807334278	Facebook	f45_54	female (45-54)	699	1	167011	26938	7360	16
The Labour Party	The Labour Party	25749647410	Facebook	f45_54	female (45-54)	10	1	151440	65277	1163	395
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	f45_54	female (45-54)	741	1	151277	28224	5079	17
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	f45_54	female (45-54)	3	1	150754	60340	1507	300
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	f45_54	female (45-54)	5	1	145445	60792	332	73
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	f45_54	female (45-54)	24	1	127327	49674	520	140
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f45_54	female (45-54)	9	1	118543	59155	1468	589
INBOX	New Digital Media	369693523475596	Facebook	f45_54	female (45-54)	14	1	115474	49702	175	14
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	f45_54	female (45-54)	54	1	114876	39324	314	97
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	f45_54	female (45-54)	211	1	110415	584	10710	0
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	f45_54	female (45-54)	33	1	95873	35460	287	31
