audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	12974	1848	19716093	6308880	227781	13420
m18_24	male (18-24)	12773	1769	17675037	5509083	220316	11557
f18_24	female (18-24)	12731	1758	16211008	5064116	206992	9583
f25_34	female (25-34)	12937	1851	15044898	4743507	194109	9819
m35_44	male (35-44)	12784	1840	14038410	4557736	153575	10646
f35_44	female (35-44)	12899	1855	11680535	3740446	141960	8404
m45_54	male (45-54)	12465	1793	11443404	3661119	131997	9770
f45_54	female (45-54)	12639	1811	10835383	3437069	128949	8730
f55_64	female (55-64)	11823	1740	10240769	3264755	112985	9099
m55_64	male (55-64)	11663	1727	8044179	2523550	97662	7313
f65_	female (65+)	10904	1623	7152476	2229713	82299	7091
m65_	male (65+)	10825	1611	5201763	1585239	64370	4760
f13_17	female (13-17)	753	258	546072	166463	5662	111
m13_17	male (13-17)	801	267	529631	171038	6468	153
u35_44	unknown (35-44)	5852	1403	212152	72186	2039	198
u25_34	unknown (25-34)	5247	1262	154779	51921	1379	125
u45_54	unknown (45-54)	4754	1213	122623	41126	1542	142
u55_64	unknown (55-64)	3380	1018	73835	23535	1244	97
u65_	unknown (65+)	3245	950	68448	19667	1294	76
u18_24	unknown (18-24)	3309	918	54162	17271	655	46
u13_17	unknown (13-17)	226	114	2017	571	41	0
