location_code_filter	location_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
auvergne_FR	Auvergne, France	Greenpeace France		39435457457	Facebook	119	1	577785	261305	2920	676
auvergne_FR	Auvergne, France	Simulation Energétique		562488297524492	Facebook	18	1	384059	127960	5804	1523
auvergne_FR	Auvergne, France	European Parliament		178362315106	Facebook	63	1	323640	149949	1697	381
auvergne_FR	Auvergne, France	Mes économies d'énergie		124948231440251	Facebook	5	1	169998	75912	2875	561
auvergne_FR	Auvergne, France	La Prime Énergie		336155273400553	Facebook	28	1	145674	57513	1332	287
auvergne_FR	Auvergne, France	Médecins du Monde France		265420476920	Facebook	640	1	118033	38577	1649	130
auvergne_FR	Auvergne, France	Parlement européen en France	Parlement européen en France	279757933824	Facebook	36	1	105755	42858	327	88
auvergne_FR	Auvergne, France	Agence Isolation Pour Tous		568528630290119	Facebook	11	1	88583	35856	1022	218
auvergne_FR	Auvergne, France	Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	92	1	81305	31567	189	5
auvergne_FR	Auvergne, France	1devis.io		1632519900186330	Facebook	11	1	78567	17906	882	0
auvergne_FR	Auvergne, France	SNE		1703448029710053	Facebook	6	1	67878	33919	1550	314
auvergne_FR	Auvergne, France	Make.org	Make.org	122037308191612	Facebook	55	1	67374	28445	533	122
auvergne_FR	Auvergne, France	Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	56	1	67291	27718	276	60
auvergne_FR	Auvergne, France	Isolez vos combles pour 1€		1979732192254642	Facebook	6	1	63216	20906	630	184
auvergne_FR	Auvergne, France	Mon Homéo Mon Choix		1643185362449069	Facebook	28	1	61202	24288	558	116
auvergne_FR	Auvergne, France	Ministère de l'Intérieur		103146727990	Facebook	23	1	61184	25878	319	76
auvergne_FR	Auvergne, France	Joel NEVEU		239843093227846	Facebook	1	1	49973	9994	98	0
auvergne_FR	Auvergne, France	Isabelle Valentin		284358338700451	Facebook	3	1	41221	10215	214	0
auvergne_FR	Auvergne, France	Solutions Énergétiques de France		146021859351766	Facebook	4	1	40489	11946	369	62
auvergne_FR	Auvergne, France	Unis pour les Droits Humains		1642871805813802	Facebook	19	1	36133	14936	30	1
auvergne_FR	Auvergne, France	Dungeon Defenders		107960282569653	Facebook	106	1	33922	14467	81	10
auvergne_FR	Auvergne, France	UNICEF France		173159234432	Facebook	38	1	32279	12653	167	40
auvergne_FR	Auvergne, France	Kialo		729627343834501	Facebook	329	1	31459	13080	207	49
auvergne_FR	Auvergne, France	Épargne Malin		1864684416941008	Facebook	19	1	30903	13521	1045	295
auvergne_FR	Auvergne, France	350.org		12185972707	Facebook	60	1	28897	6544	127	13
auvergne_FR	Auvergne, France	Céréal Bio & Céréal France		1636261843328359	Facebook	4	1	27844	11130	132	37
auvergne_FR	Auvergne, France	Stéphane Chaudesaigues tatoueur.		194204557299922	Facebook	1	1	26215	5243	51	0
auvergne_FR	Auvergne, France	Paris Première		140770432659757	Facebook	3	1	26167	13083	114	22
auvergne_FR	Auvergne, France	Le 1		850828794934579	Facebook	21	1	25367	9790	41	1
auvergne_FR	Auvergne, France	Maplanèteverte	Ma Planète Verte	340654233462962	Facebook	60	1	24250	5689	233	32
auvergne_FR	Auvergne, France	Saine Abondance		2106701562887023	Facebook	23	1	22609	9255	256	63
auvergne_FR	Auvergne, France	CIWF France	CIWF France	335868279790722	Facebook	5	1	22283	10249	282	67
auvergne_FR	Auvergne, France	Les Energies Vertes		556821371472884	Facebook	5	1	21699	7000	414	0
auvergne_FR	Auvergne, France	VeganbottleGo		320828511985253	Facebook	2	1	20985	8394	41	20
auvergne_FR	Auvergne, France	Le Monde		14892757589	Facebook	31	1	20042	7459	39	4
auvergne_FR	Auvergne, France	Always France		183045748427091	Facebook	1	1	19582	9791	97	19
auvergne_FR	Auvergne, France	EcoFuel Premium		520021431842443	Facebook	15	1	19157	7593	104	16
auvergne_FR	Auvergne, France	FHE Group		1241383025915322	Facebook	1	1	19027	9514	95	19
auvergne_FR	Auvergne, France	foodwatch France		194934737335658	Facebook	14	1	18976	6643	230	43
auvergne_FR	Auvergne, France	European GNSS Agency		128217567344601	Facebook	1	1	18543	9272	92	18
auvergne_FR	Auvergne, France	WWF-France	WWF-France	145392792632	Facebook	8	1	17268	6781	49	14
auvergne_FR	Auvergne, France	Eco-systèmes		180995598634858	Facebook	4	1	16599	8299	82	41
auvergne_FR	Auvergne, France	Les Antagonistes		398415124026017	Facebook	2	1	16117	8029	162	80
auvergne_FR	Auvergne, France	Européens Sans Frontières		668031516635463	Facebook	8	1	15993	6613	30	9
auvergne_FR	Auvergne, France	ONU Environnement		155723201059	Facebook	1	1	15912	7956	70	14
auvergne_FR	Auvergne, France	Lidimo		2217464665186092	Facebook	5	1	15854	6095	160	38
auvergne_FR	Auvergne, France	Mama Quilla		387951911757339	Facebook	1	1	15503	7752	77	15
auvergne_FR	Auvergne, France	European Commission		107898832590939	Facebook	4	1	15466	7733	77	15
auvergne_FR	Auvergne, France	Fiat Professional France		346353942508593	Facebook	4	1	14882	5990	137	27
auvergne_FR	Auvergne, France	Santesano		316620582266150	Facebook	2	1	14718	7359	147	72
auvergne_FR	Auvergne, France	Ecobio OBD		250081085939529	Facebook	7	1	14714	5998	117	21
auvergne_FR	Auvergne, France	Plan International France		100707905881	Facebook	56	1	14035	3499	139	12
auvergne_FR	Auvergne, France	Réseau des Écoles de la 2e Chance France		615421428513426	Facebook	2	1	13825	5904	19	3
auvergne_FR	Auvergne, France	Ligue des droits de l'Homme		91187778160	Facebook	7	1	13650	6086	55	10
auvergne_FR	Auvergne, France	28 minutes		311595228873763	Facebook	2	1	13366	5728	19	3
auvergne_FR	Auvergne, France	France Fraternités		200607067033021	Facebook	1	1	13097	5239	13	2
auvergne_FR	Auvergne, France	Comme j'aime		146933438675224	Facebook	5	1	12833	5249	180	35
auvergne_FR	Auvergne, France	The Body Shop		120693511308364	Facebook	3	1	12649	5461	30	11
auvergne_FR	Auvergne, France	BonneGueule		140324089470	Facebook	4	1	12558	6147	61	12
auvergne_FR	Auvergne, France	Ultra Premium Direct		241324402728111	Facebook	13	1	12380	3807	120	29
auvergne_FR	Auvergne, France	Stop Impôt		1538720933075616	Facebook	11	1	12136	4891	86	27
auvergne_FR	Auvergne, France	Ecogreen		2207467306235731	Facebook	4	1	11683	4934	99	25
auvergne_FR	Auvergne, France	Klang der Solidarität		385076005313967	Facebook	36	1	11627	4859	33	6
auvergne_FR	Auvergne, France	1 innovation par jour.		520430624775359	Facebook	8	1	11621	4205	16	0
auvergne_FR	Auvergne, France	Eco Environnement		189035588239320	Facebook	6	1	11330	3238	325	109
