age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	FI	Finland	633	205	1300175	419954	11229	822
18_24	18-24	FI	Finland	5833	1112	22439541	8197871	204301	34572
25_34	25-34	FI	Finland	6595	1243	20542175	7305483	189993	30900
35_44	35-44	FI	Finland	6606	1244	15990522	5593215	154723	24250
45_54	45-54	FI	Finland	6123	1202	12246305	4161356	126156	17632
55_64	55-64	FI	Finland	5389	1127	9939048	3210736	112164	12757
65_	65+	FI	Finland	4917	1029	9354949	2874455	112329	12173
