advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Patryk Jaki		199877710116314	Facebook	f	Facebook	PL	Poland	255	1	12896864	5042181	58140	13421
European Parliament		178362315106	Facebook	f	Facebook	PL	Poland	70	1	12697482	5659005	23187	5683
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	f	Facebook	PL	Poland	451	1	10224983	4016217	36037	7046
Gazeta Wyborcza		63563473556	Facebook	f	Facebook	PL	Poland	380	1	8182700	2702471	18844	2809
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	f	Facebook	PL	Poland	19	1	6775461	3212762	10736	2975
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	f	Facebook	PL	Poland	70	1	4499930	1793000	8460	1881
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	f	Facebook	PL	Poland	14	1	4406563	2168352	5268	1091
Kialo		729627343834501	Facebook	f	Facebook	PL	Poland	372	1	3527981	1441296	22392	5256
Greenpeace Polska		32104614789	Facebook	f	Facebook	PL	Poland	61	1	3274202	1344550	7028	1707
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	f	Facebook	PL	Poland	55	1	3125197	1160594	10164	2230
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	f	Facebook	PL	Poland	56	1	2921919	1035839	6401	1417
Amnesty International Polska		57544755889	Facebook	f	Facebook	PL	Poland	68	1	2777922	956308	9840	2882
Paweł Kobyliński - Poseł na Sejm RP, Kandydat do Parlamentu Europejskiego	Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu	1576591379231457	Facebook	f	Facebook	PL	Poland	35	1	2140183	675687	5270	1139
PolEXIT		2001582129931761	Facebook	f	Facebook	PL	Poland	17	1	1947978	778926	4084	882
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	f	Facebook	PL	Poland	29	1	1945968	696999	4180	837
Paweł Bejda	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	587380481330698	Facebook	f	Facebook	PL	Poland	73	1	1794070	473522	4053	561
European Commission		107898832590939	Facebook	f	Facebook	PL	Poland	21	1	1733852	835460	7259	1405
Sylwia Spurek		1967695263556184	Facebook	f	Facebook	PL	Poland	20	1	1640921	633986	3112	674
Polska Fundacja im. Roberta Schumana		150617698324166	Facebook	f	Facebook	PL	Poland	36	1	1575815	395930	3527	674
Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	f	Facebook	PL	Poland	36	1	1490964	496000	2457	535
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	f	Facebook	PL	Poland	44	1	1417753	357959	5083	1093
Akcja Demokracja		277892342334350	Facebook	f	Facebook	PL	Poland	72	1	1304271	353780	2588	232
Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	f	Facebook	PL	Poland	22	1	1290977	482999	4973	1023
Parlament Europejski - Biuro w Polsce		405326618416	Facebook	f	Facebook	PL	Poland	13	1	1278465	538343	2383	369
Łukasz Kohut	KW Wiosna Roberta Biedronia 	1465965073732774	Facebook	f	Facebook	PL	Poland	8	1	1220992	550000	1696	325
