country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CY	Cyprus	w020	Week 20	143	41	548558	174591	2297	111
CY	Cyprus	w019	Week 19	334	62	7616570	2501649	34799	3485
CY	Cyprus	w018	Week 18	253	64	2741866	749415	8912	232
CY	Cyprus	w017	Week 17	203	67	1355554	395214	5670	245
CY	Cyprus	w016	Week 16	242	86	978993	286274	4027	56
CY	Cyprus	w015	Week 15	393	134	1331970	421770	5851	284
CY	Cyprus	w014	Week 14	375	141	1578962	505043	5231	281
CY	Cyprus	w013	Week 13	303	133	2930937	1147247	14304	2135
CY	Cyprus	w012	Week 12	261	107	1164366	438521	5958	796
CY	Cyprus	w011	Week 11	171	74	1174412	392050	4757	373
