advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Greens		141366725876424	Facebook	d134	2019-05-14	114	1	4710325	2096359	28544	7015
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	d134	2019-05-14	117	1	4704744	2078322	7697	1759
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	d134	2019-05-14	19	1	3244862	1510948	4708	1010
SPD	SPD	47930567748	Facebook	d134	2019-05-14	106	1	2453219	772320	12764	1258
FDP	FDP	21289227249	Facebook	d134	2019-05-14	1366	1	2450659	769371	22078	1421
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	d134	2019-05-14	375	1	2384440	981654	12180	2247
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	d134	2019-05-14	21	1	2222216	985709	23642	5097
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	d134	2019-05-14	116	1	1935318	801546	8296	2795
Greenpeace España	Greenpeace España	133044800622	Facebook	d134	2019-05-14	12	1	1900988	820000	4088	1000
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	d134	2019-05-14	402	1	1812956	597201	12898	1880
România în primul rând	Future Innovation	770704223323599	Facebook	d134	2019-05-14	34	1	1772081	764184	2041	470
Partito Democratico	Partito Democratico	77034286895	Facebook	d134	2019-05-14	127	1	1739365	712798	4755	923
sp.a	sp.a	57253967150	Facebook	d134	2019-05-14	208	1	1733622	667954	7447	1474
Vlaams Belang	Vlaams Belang	56605856504	Facebook	d134	2019-05-14	6	1	1667773	833888	17134	6427
Parlement européen en France	Parlement européen en France	279757933824	Facebook	d134	2019-05-14	72	1	1617769	705000	9047	2211
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	d134	2019-05-14	20	1	1540918	667351	2643	1105
