recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	NL	Netherlands	593	125	1927896	731719	16915	2986
rd2	Last 2 days	2019-05-06	2019-05-07	NL	Netherlands	642	143	3973783	1508018	34842	6053
rd3	Last 3 days	2019-05-05	2019-05-07	NL	Netherlands	679	159	5360918	2038016	46078	8054
rd4	Last 4 days	2019-05-04	2019-05-07	NL	Netherlands	711	174	6668323	2526727	56911	10000
rd5	Last 5 days	2019-05-03	2019-05-07	NL	Netherlands	776	187	10894734	4207164	86164	16942
rd6	Last 6 days	2019-05-02	2019-05-07	NL	Netherlands	822	201	12052617	4625655	94767	18743
rw1	Last week	2019-05-01	2019-05-07	NL	Netherlands	881	214	13133299	5033951	104158	20621
rw2	Last 2 weeks	2019-04-24	2019-05-07	NL	Netherlands	1383	319	19054839	7350642	151450	29799
rw3	Last 3 weeks	2019-04-17	2019-05-07	NL	Netherlands	1799	405	28707856	11026353	238214	46107
rw4	Last 4 weeks	2019-04-10	2019-05-07	NL	Netherlands	2428	619	39141366	15210244	315090	59351
rm1	Last month	2019-04-08	2019-05-07	NL	Netherlands	2684	692	42057994	16361824	339541	63833
rm2	Last 2 months	2019-03-09	2019-05-07	NL	Netherlands	4299	1170	71333235	27433339	604750	111794
rm3	Last 3 months	2019-02-07	2019-05-07	NL	Netherlands	4972	1252	79506805	30550261	664540	122129
rm6	Last 6 months	2019-01-01	2019-05-07	NL	Netherlands	5165	1288	83582016	32109249	692694	128162
