advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	35_44	35-44	BG	Bulgaria	29	1	502976	245336	1121	353
Kialo		729627343834501	Facebook	35_44	35-44	BG	Bulgaria	253	1	419231	165363	2450	598
Демократична България	Демократична България	995342840629890	Facebook	35_44	35-44	BG	Bulgaria	27	1	317334	95343	794	77
ПП ГЕРБ - София		336639303182606	Facebook	35_44	35-44	BG	Bulgaria	1	1	178369	71348	158	31
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	35_44	35-44	BG	Bulgaria	31	1	114799	53749	253	75
Европейски парламент в България		163350039852	Facebook	35_44	35-44	BG	Bulgaria	1	1	107069	42827	1070	214
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	35_44	35-44	BG	Bulgaria	51	1	94250	37642	458	94
Движение ВОЛЯ		289082018098560	Facebook	35_44	35-44	BG	Bulgaria	1	1	82351	32940	82	16
Приоритети	БЗНС	1163987410423594	Facebook	35_44	35-44	BG	Bulgaria	20	1	81700	17955	372	0
informo.bg	informo.bg	262524054082832	Facebook	35_44	35-44	BG	Bulgaria	4	1	58525	29262	129	24
European Greens		141366725876424	Facebook	35_44	35-44	BG	Bulgaria	5	1	57535	27838	180	41
Стефан Тафров	Stefan Tafrov	233810563693016	Facebook	35_44	35-44	BG	Bulgaria	12	1	48855	9907	330	0
Greens/EFA in the European Parliament		150527751674751	Facebook	35_44	35-44	BG	Bulgaria	10	1	41685	16307	59	9
Бебешки магазин Вис Виталис /Vis Vitalis/		536634519688007	Facebook	35_44	35-44	BG	Bulgaria	13	1	39444	9414	189	0
Ангел Джамбазки	Войчин Мирчо	139581756144530	Facebook	35_44	35-44	BG	Bulgaria	9	1	39187	12078	98	0
Крум Дончев/Krum Donchev		155516354469476	Facebook	35_44	35-44	BG	Bulgaria	8	1	39118	18313	33	0
Кристиян Шкварек	Oblakov Nikolay	651747871952382	Facebook	35_44	35-44	BG	Bulgaria	10	1	35884	8803	131	0
Arte		656089814494677	Facebook	35_44	35-44	BG	Bulgaria	6	1	31510	13238	75	11
Партия На Зелените		1438204226503681	Facebook	35_44	35-44	BG	Bulgaria	5	1	28179	5636	95	0
Евро Ферт АД		271746059949890	Facebook	35_44	35-44	BG	Bulgaria	1	1	27390	13695	60	12
Фондация Българска Памет		540948509258655	Facebook	35_44	35-44	BG	Bulgaria	2	1	22796	10307	26	0
България на Труда и Разума - БТР		709384432421964	Facebook	35_44	35-44	BG	Bulgaria	7	1	20927	4416	42	0
Stankov • Todorov • Hinkov & Spasov Attorneys-at-Law		1717626955134976	Facebook	35_44	35-44	BG	Bulgaria	2	1	19370	4953	59	0
Ilhan Kyuchyuk	Ilhan Kyuchyuk	1637403469881344	Facebook	35_44	35-44	BG	Bulgaria	3	1	18478	3695	32	0
JobRadar.BG		1753665731363354	Facebook	35_44	35-44	BG	Bulgaria	1	1	17826	3565	35	0
Tuxy		870667836405958	Facebook	35_44	35-44	BG	Bulgaria	3	1	17660	7120	78	18
DESIGNitsa - Дизайница		676082905766490	Facebook	35_44	35-44	BG	Bulgaria	10	1	17487	3723	119	0
Guardian Weekly		64525551258	Facebook	35_44	35-44	BG	Bulgaria	10	1	16508	6200	28	5
Път на младите	Път на младите	2051476654950711	Facebook	35_44	35-44	BG	Bulgaria	9	1	15349	4173	82	0
National Geographic		257826487601111	Facebook	35_44	35-44	BG	Bulgaria	1	1	14944	2988	29	0
Карлос Контрера	Войчин Мирчо	734105799990582	Facebook	35_44	35-44	BG	Bulgaria	10	1	14245	3013	122	0
Болници Medical Park		648144405325576	Facebook	35_44	35-44	BG	Bulgaria	2	1	14004	7002	24	0
Не Бъди Посредствен		1805601139707511	Facebook	35_44	35-44	BG	Bulgaria	1	1	13867	2773	27	0
Bright Life Today		806186806171908	Facebook	35_44	35-44	BG	Bulgaria	2	1	13355	5569	15	0
Center for European Integration Studies (ZEI)		144159745724379	Facebook	35_44	35-44	BG	Bulgaria	1	1	12145	6072	12	6
GEYA   /  ГЕЯ  /		125015671491693	Facebook	35_44	35-44	BG	Bulgaria	1	1	11710	2342	20	0
Europe Together		140105536131109	Facebook	35_44	35-44	BG	Bulgaria	1	1	10996	5498	54	10
Борба за съществуване / Extinction Rebellion Bulgaria		2258761914367373	Facebook	35_44	35-44	BG	Bulgaria	1	1	10553	2110	24	0
ВОЛЯ - Българските Родолюбци		317433685633688	Facebook	35_44	35-44	BG	Bulgaria	2	1	10478	5239	25	0
Консерваторъ	Oblakov Nikolay	1840027882991452	Facebook	35_44	35-44	BG	Bulgaria	2	1	10386	2077	36	0
Volen Siderov		48268614826	Facebook	35_44	35-44	BG	Bulgaria	2	1	9912	1982	32	0
ALDE Group – Liberals and Democrats in the European Parliament		123910440019	Facebook	35_44	35-44	BG	Bulgaria	2	1	9442	3839	4	0
Viasat Explore		552952714727440	Facebook	35_44	35-44	BG	Bulgaria	2	1	8804	1761	10	0
Медея		1526396310816752	Facebook	35_44	35-44	BG	Bulgaria	1	1	8778	1755	15	0
European Commission		107898832590939	Facebook	35_44	35-44	BG	Bulgaria	3	1	8297	4148	24	5
Цветан Гайд		1544953965731921	Facebook	35_44	35-44	BG	Bulgaria	1	1	7054	1410	12	0
Game of Sultans		185311195624361	Facebook	35_44	35-44	BG	Bulgaria	6	1	6338	2688	101	20
γυρίζουμε		278308089460720	Facebook	35_44	35-44	BG	Bulgaria	7	1	6226	2594	39	8
TODOROV-Imoteka Chaika	Todorov Sasho	573501706475405	Facebook	35_44	35-44	BG	Bulgaria	4	1	5498	1772	77	0
One Billion Rising Bulgaria		579415982138368	Facebook	35_44	35-44	BG	Bulgaria	1	1	5341	1068	12	0
مكتب المحاماة العربي في بلغاريا		468472296878922	Facebook	35_44	35-44	BG	Bulgaria	6	1	5089	2196	53	0
Debating Europe		132011730204757	Facebook	35_44	35-44	BG	Bulgaria	3	1	4871	974	9	0
Организация за защита на животните "Четири лапи"		144072035778	Facebook	35_44	35-44	BG	Bulgaria	12	1	4822	1390	139	0
Create.Refresh	Create.Refresh	1736881926615141	Facebook	35_44	35-44	BG	Bulgaria	4	1	4774	2041	13	2
Solar Impulse		187539851277198	Facebook	35_44	35-44	BG	Bulgaria	2	1	3995	1598	3	0
Animal Matters	Animal Matters	1439364926329185	Facebook	35_44	35-44	BG	Bulgaria	5	1	3980	1256	5	0
OTS Solicitors		940549775965601	Facebook	35_44	35-44	BG	Bulgaria	1	1	3976	1988	4	0
Open Society Roma Initiatives		369567809754486	Facebook	35_44	35-44	BG	Bulgaria	1	1	3696	739	7	0
The Good Lobby		1420129598280317	Facebook	35_44	35-44	BG	Bulgaria	8	1	3677	1121	10	0
VOA - Глас на Америка		176413438620	Facebook	35_44	35-44	BG	Bulgaria	4	1	3599	1662	2	0
За Петър Чобанов		762986410409232	Facebook	35_44	35-44	BG	Bulgaria	8	1	3598	952	94	0
Ege Deniz Yolları		263618431233010	Facebook	35_44	35-44	BG	Bulgaria	1	1	3392	678	5	1
Avanta Care Ltd.		577732148956414	Facebook	35_44	35-44	BG	Bulgaria	4	1	3385	869	17	0
Фондация Билитис/ Bilitis Foundation		287175336077	Facebook	35_44	35-44	BG	Bulgaria	1	1	3367	673	6	0
We Amplify		186008238755917	Facebook	35_44	35-44	BG	Bulgaria	4	1	3339	667	7	0
Multi Shop		202940193653053	Facebook	35_44	35-44	BG	Bulgaria	1	1	3239	1619	28	0
Guardian B2B		452752128144314	Facebook	35_44	35-44	BG	Bulgaria	1	1	2979	1489	8	1
Karaci Tours Medical		408232079212353	Facebook	35_44	35-44	BG	Bulgaria	1	1	2944	588	5	0
Cecilia Malmström		258966159416	Facebook	35_44	35-44	BG	Bulgaria	1	1	2773	1109	5	2
MmosWorld		1262271977168621	Facebook	35_44	35-44	BG	Bulgaria	1	1	2596	1298	1	0
Caritas Europa		190426711052241	Facebook	35_44	35-44	BG	Bulgaria	2	1	2490	498	4	0
Е-Магазинъ		339462690027669	Facebook	35_44	35-44	BG	Bulgaria	1	1	2483	1241	21	0
Tunis Forum on Gender Equality		362993680952642	Facebook	35_44	35-44	BG	Bulgaria	1	1	2458	1229	1	0
Pirate Parties International		152709151422154	Facebook	35_44	35-44	BG	Bulgaria	1	1	2315	1157	10	2
Europeana.eu		10261403667	Facebook	35_44	35-44	BG	Bulgaria	2	1	2207	1004	1	0
Bologna Business School		32776988074	Facebook	35_44	35-44	BG	Bulgaria	3	1	2157	477	5	0
ВМРО Горна Оряховица		245988949432379	Facebook	35_44	35-44	BG	Bulgaria	1	1	2151	1075	18	0
EPP Group in the European Committee of the Regions		200559876664896	Facebook	35_44	35-44	BG	Bulgaria	3	1	2133	426	21	4
АБВ - Младежи		258397044345249	Facebook	35_44	35-44	BG	Bulgaria	10	1	2132	393	55	0
Идея за България/Idea for Bulgaria		185512961489408	Facebook	35_44	35-44	BG	Bulgaria	2	1	2114	990	32	0
Gimme5EUblogs	City Eng	1704673382966894	Facebook	35_44	35-44	BG	Bulgaria	7	1	2092	653	29	0
TaxEduportal		828411763950694	Facebook	35_44	35-44	BG	Bulgaria	1	1	2089	418	4	0
Вдъхновените		515186808906514	Facebook	35_44	35-44	BG	Bulgaria	1	1	1989	994	19	0
Susan Mimram Author		260820654702075	Facebook	35_44	35-44	BG	Bulgaria	1	1	1967	983	12	0
Stagg Music (official)		166644226724554	Facebook	35_44	35-44	BG	Bulgaria	1	1	1935	967	4	0
AgroClub.bg		2341992705829624	Facebook	35_44	35-44	BG	Bulgaria	2	1	1913	319	62	0
Coconut Bowls		451945511677873	Facebook	35_44	35-44	BG	Bulgaria	67	1	1896	493	11	0
Искрен Веселинов		840508039323482	Facebook	35_44	35-44	BG	Bulgaria	1	1	1874	937	18	0
Северозападът ЗА Ангел Джамбазки		379244342921053	Facebook	35_44	35-44	BG	Bulgaria	1	1	1863	931	16	0
eToro		193863317737	Facebook	35_44	35-44	BG	Bulgaria	17	1	1838	846	4	0
East Meet East		565982140109779	Facebook	35_44	35-44	BG	Bulgaria	1	1	1825	912	4	0
Success Resources		550751965021284	Facebook	35_44	35-44	BG	Bulgaria	1	1	1771	354	20	4
Венета Маджистрели - раз/ЛИЧНИЯТ избор за Европейски парламент 2019		436121407128896	Facebook	35_44	35-44	BG	Bulgaria	1	1	1734	346	3	0
Alberto Alemanno		179635265973968	Facebook	35_44	35-44	BG	Bulgaria	2	1	1625	787	1	0
Matthew Hussey		525275707491504	Facebook	35_44	35-44	BG	Bulgaria	7	1	1616	652	13	2
Петър Клисаров		2041389956077700	Facebook	35_44	35-44	BG	Bulgaria	2	1	1615	354	3	0
HILL International Bulgaria		235577253171934	Facebook	35_44	35-44	BG	Bulgaria	1	1	1610	322	31	0
Красимир Каракачанов	Войчин Мирчо	239611712717792	Facebook	35_44	35-44	BG	Bulgaria	1	1	1582	791	13	0
Lomovera		134871259892580	Facebook	35_44	35-44	BG	Bulgaria	2	1	1574	726	26	0
Топ новината		1580544528624837	Facebook	35_44	35-44	BG	Bulgaria	1	1	1573	314	31	0
European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	35_44	35-44	BG	Bulgaria	7	1	1508	527	1	0
ВКД КОНСУЛТ		1497770957211468	Facebook	35_44	35-44	BG	Bulgaria	1	1	1422	284	25	0
NATO Strategic Communications Centre of Excellence		1456516717932002	Facebook	35_44	35-44	BG	Bulgaria	1	1	1393	696	1	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	35_44	35-44	BG	Bulgaria	2	1	1382	427	2	0
TopNovina		218608215380166	Facebook	35_44	35-44	BG	Bulgaria	1	1	1309	262	25	0
Lingokids		497983453648415	Facebook	35_44	35-44	BG	Bulgaria	8	1	1301	644	1	0
Хотел "Бали & СПА"		1427433997531642	Facebook	35_44	35-44	BG	Bulgaria	1	1	1293	258	25	0
Kristian Vigenin / Кристиан Вигенин		229689447151510	Facebook	35_44	35-44	BG	Bulgaria	3	1	1289	384	21	0
EURACTIV		15299247059	Facebook	35_44	35-44	BG	Bulgaria	5	1	1278	254	4	0
FontBundles.net		1653056048283270	Facebook	35_44	35-44	BG	Bulgaria	2	1	1206	603	6	1
Melba Culp		902971599738051	Facebook	35_44	35-44	BG	Bulgaria	24	1	1177	315	3	0
Bar&Dinner Bali		692677637542890	Facebook	35_44	35-44	BG	Bulgaria	1	1	1164	232	23	0
Collision Conf		205093963028353	Facebook	35_44	35-44	BG	Bulgaria	6	1	1156	247	15	1
