recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	CY	Cyprus	128	35	487962	134248	3040	150
rd2	Last 2 days	2019-05-06	2019-05-07	CY	Cyprus	145	38	1190747	313494	6698	300
rd3	Last 3 days	2019-05-05	2019-05-07	CY	Cyprus	152	40	1704438	438911	8557	300
rd4	Last 4 days	2019-05-04	2019-05-07	CY	Cyprus	171	41	2370458	602161	11308	300
rd5	Last 5 days	2019-05-03	2019-05-07	CY	Cyprus	193	43	2916236	739434	13258	300
rd6	Last 6 days	2019-05-02	2019-05-07	CY	Cyprus	212	47	3421538	861880	14559	311
rw1	Last week	2019-05-01	2019-05-07	CY	Cyprus	226	51	3618030	913307	15068	338
rw2	Last 2 weeks	2019-04-24	2019-05-07	CY	Cyprus	321	77	5006455	1306786	20317	632
rw3	Last 3 weeks	2019-04-17	2019-05-07	CY	Cyprus	394	101	5969701	1587345	24176	656
rw4	Last 4 weeks	2019-04-10	2019-05-07	CY	Cyprus	580	149	7183667	1959287	29231	902
rm1	Last month	2019-04-08	2019-05-07	CY	Cyprus	611	165	7494199	2054031	30469	967
rm2	Last 2 months	2019-03-09	2019-05-07	CY	Cyprus	1125	309	14090632	4430076	58673	4062
rm3	Last 3 months	2019-02-07	2019-05-07	CY	Cyprus	1251	342	15328758	4832957	62765	4328
rm6	Last 6 months	2019-01-01	2019-05-07	CY	Cyprus	1317	357	15399841	4863598	63045	4391
