week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-15	UK	United Kingdom	2637	356	19305589	6722718	256438	31012
w019	Week 19	2019-05-06	2019-05-12	UK	United Kingdom	3836	595	39983168	14330907	544513	77514
w018	Week 18	2019-04-29	2019-05-05	UK	United Kingdom	7190	1442	59071112	19622404	916893	113373
w017	Week 17	2019-04-22	2019-04-28	UK	United Kingdom	5711	1241	43768825	14780413	601159	73977
w016	Week 16	2019-04-15	2019-04-21	UK	United Kingdom	4367	1168	25530429	8058099	370900	34615
w015	Week 15	2019-04-08	2019-04-14	UK	United Kingdom	4672	1267	41180691	14524288	500528	71031
w014	Week 14	2019-04-01	2019-04-07	UK	United Kingdom	4250	1156	35507709	11790942	457162	62743
w013	Week 13	2019-03-25	2019-03-31	UK	United Kingdom	5314	1180	35377454	11236763	533960	62851
w012	Week 12	2019-03-18	2019-03-24	UK	United Kingdom	5570	1048	49835236	17022325	687830	87840
w011	Week 11	2019-03-11	2019-03-17	UK	United Kingdom	4080	890	38572724	12902713	429737	44503
w010	Week 10	2019-03-04	2019-03-10	UK	United Kingdom	3209	832	26721561	9081457	292232	38358
w009	Week 9	2019-02-25	2019-03-03	UK	United Kingdom	2875	769	27038090	8799643	310453	45076
w008	Week 8	2019-02-18	2019-02-24	UK	United Kingdom	3394	676	41645369	14811635	479369	66840
w007	Week 7	2019-02-11	2019-02-17	UK	United Kingdom	2145	623	20812796	7030882	208098	25239
w006	Week 6	2019-02-04	2019-02-10	UK	United Kingdom	2083	581	26287461	10125388	261425	33444
w005	Week 5	2019-01-28	2019-02-03	UK	United Kingdom	2468	537	36580733	12471723	345904	51792
w004	Week 4	2019-01-21	2019-01-27	UK	United Kingdom	2350	514	24562499	8434390	292474	42607
w003	Week 3	2019-01-14	2019-01-20	UK	United Kingdom	2295	508	28306598	9562822	302891	43632
w002	Week 2	2019-01-07	2019-01-13	UK	United Kingdom	1566	430	23222587	7373806	211507	33857
w001	Week 1	2019-01-01	2019-01-06	UK	United Kingdom	2318	327	49482276	16388192	504850	78643
