country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
DK	Denmark	w020	Week 20	2019-05-13	2019-05-13	1998	287	3437188	1070914	29374	7522
DK	Denmark	w019	Week 19	2019-05-06	2019-05-12	3479	411	33692128	10489409	320430	80552
DK	Denmark	w018	Week 18	2019-04-29	2019-05-05	2767	390	14494824	4439525	125440	30391
DK	Denmark	w017	Week 17	2019-04-22	2019-04-28	2336	386	10486214	3221927	91211	22957
DK	Denmark	w016	Week 16	2019-04-15	2019-04-21	1988	392	7564739	2376168	75009	18916
DK	Denmark	w015	Week 15	2019-04-08	2019-04-14	1893	489	5063990	1566864	48432	10510
DK	Denmark	w014	Week 14	2019-04-01	2019-04-07	1347	433	4535751	1309832	50962	10977
DK	Denmark	w013	Week 13	2019-03-25	2019-03-31	1033	340	4312328	1380833	44236	10014
DK	Denmark	w012	Week 12	2019-03-18	2019-03-24	934	321	3928074	1223290	40110	8758
DK	Denmark	w011	Week 11	2019-03-11	2019-03-17	820	285	3904657	1216517	35851	7953
DK	Denmark	w010	Week 10	2019-03-04	2019-03-10	843	277	4693550	1419680	42752	8977
DK	Denmark	w009	Week 9	2019-02-25	2019-03-03	443	149	1734024	485519	16739	3973
DK	Denmark	w008	Week 8	2019-02-18	2019-02-24	393	97	1355491	392108	10211	1952
DK	Denmark	w007	Week 7	2019-02-11	2019-02-17	300	73	1203312	377311	10222	1976
DK	Denmark	w006	Week 6	2019-02-04	2019-02-10	234	61	1007888	312772	7373	1798
DK	Denmark	w005	Week 5	2019-01-28	2019-02-03	246	57	775373	232442	6284	1448
DK	Denmark	w004	Week 4	2019-01-21	2019-01-27	182	50	618986	185630	4168	974
DK	Denmark	w003	Week 3	2019-01-14	2019-01-20	164	49	535127	202789	4002	1210
DK	Denmark	w002	Week 2	2019-01-07	2019-01-13	114	43	447789	124358	4004	806
DK	Denmark	w001	Week 1	2019-01-01	2019-01-06	82	35	325365	83744	3410	611
