advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Maroš Šefčovič		245361515516655	Facebook	nitra_region	Nitra Region	SK	Slovakia	23	1	14790	3709	57	5
Igor Melicher - Mladí Sociálni Demokrati	Robert Bestro	2687957954762822	Facebook	nitra_region	Nitra Region	SK	Slovakia	38	1	14323	4555	110	11
Európsky parlament – Kancelária na Slovensku		232491033085	Facebook	nitra_region	Nitra Region	SK	Slovakia	25	1	14074	5276	63	8
Magyar Fórum - Maďarské fórum	Simon Zsolt	522186401540084	Facebook	nitra_region	Nitra Region	SK	Slovakia	12	1	12722	3009	195	0
Zora Jaurová • Progresívne Slovensko		267456060571592	Facebook	nitra_region	Nitra Region	SK	Slovakia	43	1	12226	5519	126	1
Robert Hajšel	Krcmarikova Katarina	822009714820627	Facebook	nitra_region	Nitra Region	SK	Slovakia	17	1	12183	3013	51	3
Pavol Dubček		282565561906912	Facebook	nitra_region	Nitra Region	SK	Slovakia	16	1	11947	4328	32	0
Lucia Nicholsonová verí v zdravý rozum	Richard Sulik	714437508635046	Facebook	nitra_region	Nitra Region	SK	Slovakia	31	1	11895	2525	50	0
Antonio Parziale - Váš hlas v Európe	Európska Demokratická Strana	1485999664946680	Facebook	nitra_region	Nitra Region	SK	Slovakia	20	1	11077	3977	50	0
Eurovoľby	Richard Sulik	2376963545647566	Facebook	nitra_region	Nitra Region	SK	Slovakia	161	1	10061	1709	452	0
Bastrnák Tibor		136276779732548	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	9668	1933	19	0
Martin Lancz - kandidát na europoslanca 2019	 Švec František	2671787962847811	Facebook	nitra_region	Nitra Region	SK	Slovakia	38	1	9521	1802	202	0
Ábel Ravasz	Ábel Ravasz	978554185546219	Facebook	nitra_region	Nitra Region	SK	Slovakia	8	1	9264	1988	22	0
