impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
200k_500k	200k - 500k	EE	Estonia	European Parliament		178362315106	Facebook	3	1	504742	201897	5036	1008
200k_500k	200k - 500k	EE	Estonia	Isamaa erakond	Isamaa erakond	321163977576	Facebook	1	1	499999	200000	999	500
200k_500k	200k - 500k	EE	Estonia	Veriff		959442754113350	Facebook	1	1	499999	200000	444	89
200k_500k	200k - 500k	EE	Estonia	Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	1	1	499996	199999	998	499
200k_500k	200k - 500k	EE	Estonia	Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	1	1	499938	199975	998	499
200k_500k	200k - 500k	EE	Estonia	Kialo		729627343834501	Facebook	26	1	106273	42509	884	181
200k_500k	200k - 500k	EE	Estonia	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	8	1	12950	5180	20	8
200k_500k	200k - 500k	EE	Estonia	Guardian Weekly		64525551258	Facebook	3	1	11933	4773	19	7
200k_500k	200k - 500k	EE	Estonia	Game of Sultans		185311195624361	Facebook	4	1	11781	4712	130	41
200k_500k	200k - 500k	EE	Estonia	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	9	1	8739	3495	15	3
200k_500k	200k - 500k	EE	Estonia	Wholesome Culture		1664959567149320	Facebook	1	1	6926	2770	6	1
200k_500k	200k - 500k	EE	Estonia	VoteWatch Europe		355087424564148	Facebook	2	1	5630	2252	8	3
200k_500k	200k - 500k	EE	Estonia	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	4	1	3871	1548	32	6
200k_500k	200k - 500k	EE	Estonia	Cecilia Malmström		258966159416	Facebook	1	1	3548	1419	7	3
200k_500k	200k - 500k	EE	Estonia	European Greens	European Greens	141366725876424	Facebook	1	1	3161	1264	6	3
200k_500k	200k - 500k	EE	Estonia	Швеция		1001119573268082	Facebook	1	1	2990	1196	0	0
200k_500k	200k - 500k	EE	Estonia	European Youth Event		919232861444360	Facebook	2	1	2834	1133	4	2
200k_500k	200k - 500k	EE	Estonia	Climate-KIC		403370709744295	Facebook	1	1	1911	764	4	2
200k_500k	200k - 500k	EE	Estonia	Matthew Hussey		525275707491504	Facebook	3	1	1873	749	16	3
200k_500k	200k - 500k	EE	Estonia	eToro		193863317737	Facebook	2	1	1256	502	1	0
200k_500k	200k - 500k	EE	Estonia	Give A Vote		2186129244970085	Facebook	1	1	1222	488	1	0
200k_500k	200k - 500k	EE	Estonia	Europeana.eu		10261403667	Facebook	1	1	635	254	0	0
200k_500k	200k - 500k	EE	Estonia	Le Monde		14892757589	Facebook	3	1	464	185	0	0
200k_500k	200k - 500k	EE	Estonia	LIKE APP		272972103180159	Facebook	1	1	335	134	0	0
200k_500k	200k - 500k	EE	Estonia	Tuxy		870667836405958	Facebook	2	1	280	112	1	0
