recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-16	2019-05-16	FR	France	931	194	5239550	2323274	27333	5752
rd2	Last 2 days	2019-05-15	2019-05-16	FR	France	970	215	10522952	4657815	54897	11506
rd3	Last 3 days	2019-05-14	2019-05-16	FR	France	1004	232	15807937	6995393	82551	17261
rd4	Last 4 days	2019-05-13	2019-05-16	FR	France	1088	242	18698337	8115792	102418	20144
rd5	Last 5 days	2019-05-12	2019-05-16	FR	France	1128	254	20937533	9024939	115874	22962
rd6	Last 6 days	2019-05-11	2019-05-16	FR	France	1194	276	23361162	9976404	130799	25845
rw1	Last week	2019-05-10	2019-05-16	FR	France	1245	287	27009695	11488088	150829	31510
rw2	Last 2 weeks	2019-05-03	2019-05-16	FR	France	1574	400	44235137	18966968	247196	50067
rw3	Last 3 weeks	2019-04-26	2019-05-16	FR	France	2252	564	53107036	22363669	312447	61358
rw4	Last 4 weeks	2019-04-19	2019-05-16	FR	France	2896	781	63780626	26684244	379734	72289
rm1	Last month	2019-04-17	2019-05-16	FR	France	3068	862	67010406	27735372	406152	76106
rm2	Last 2 months	2019-03-18	2019-05-16	FR	France	9173	2625	166253804	65490225	1274065	200489
rm3	Last 3 months	2019-02-16	2019-05-16	FR	France	11713	3050	218107110	85692496	1747591	277322
rm6	Last 6 months	2019-01-01	2019-05-16	FR	France	12512	3140	237510480	93139956	1906915	304507
