age_code_filter	age_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
25_34	25-34	European Parliament		178362315106	Facebook	1290	1	59926190	26867593	338601	85933
25_34	25-34	Kialo		729627343834501	Facebook	746	1	31833878	12698265	207967	51269
25_34	25-34	Podemos	Unidas Podemos	269212336568846	Facebook	320	1	26982692	12108119	152484	39102
25_34	25-34	People's Vote UK	People's Vote	748608695327755	Facebook	3405	1	25912595	9189886	300242	55781
25_34	25-34	Ciudadanos	Ciudadanos	74078667754	Facebook	5453	1	19390563	5887967	193451	14360
25_34	25-34	Partido Popular	Partido Popular	72249031214	Facebook	1224	1	18117743	6625025	104473	15047
25_34	25-34	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3379	1	12885538	4630216	144965	21040
25_34	25-34	CDU	CDU	78502295414	Facebook	3170	1	12577168	3002115	107531	2670
25_34	25-34	European Commission		107898832590939	Facebook	69	1	11912533	5525083	47835	12549
25_34	25-34	sp.a	sp.a	57253967150	Facebook	277	1	11480744	4747921	49993	11308
25_34	25-34	SPD	SPD	47930567748	Facebook	7090	1	11368472	3553903	211559	14497
25_34	25-34	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2294	1	10992053	4003405	104452	12858
25_34	25-34	Conservatives	The Conservative Party	8807334278	Facebook	1872	1	10278070	4012315	104772	15096
25_34	25-34	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	179	1	8779079	3978605	20657	4674
25_34	25-34	Best For Britain	Best for Britain	1863944713844924	Facebook	837	1	8730673	3719334	97192	23200
25_34	25-34	FDP	FDP	21289227249	Facebook	2116	1	8077637	2444149	65376	3286
25_34	25-34	The Labour Party	The Labour Party	25749647410	Facebook	587	1	7992233	3225898	58864	12588
25_34	25-34	European Greens	European Greens	141366725876424	Facebook	89	1	7305333	3248232	46085	11605
25_34	25-34	PSOE	PSOE	189318235003	Facebook	333	1	6736497	2675254	21359	3840
25_34	25-34	Greenpeace France		39435457457	Facebook	130	1	6630631	2987135	32027	7465
25_34	25-34	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	110	1	6562640	2731309	16865	4938
25_34	25-34	România în primul rând	Future Innovation	770704223323599	Facebook	76	1	6360547	2788386	9073	2032
25_34	25-34	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	5983147	2763751	38412	8636
25_34	25-34	Rädda Barnen		72659261793	Facebook	523	1	5794687	1877472	49746	12586
25_34	25-34	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	77	1	5637678	2544859	12178	3586
