day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d137	2019-05-17	ES	Spain	5225	285	10453056	3613150	114018	6349
d136	2019-05-16	ES	Spain	5356	312	11856153	4105267	122866	7477
d135	2019-05-15	ES	Spain	4857	308	9026466	3067811	94006	6016
d134	2019-05-14	ES	Spain	4682	276	10955000	3924449	92541	5558
d133	2019-05-13	ES	Spain	3993	250	8739584	3196816	73481	4302
d132	2019-05-12	ES	Spain	3241	226	4856632	1705003	41011	2698
d131	2019-05-11	ES	Spain	3170	226	4379487	1537404	36985	2353
d130	2019-05-10	ES	Spain	3003	226	4929865	1758015	39277	2910
d129	2019-05-09	ES	Spain	2812	198	4527217	1625807	46839	2994
d128	2019-05-08	ES	Spain	2255	187	2787706	1011682	28828	2090
d127	2019-05-07	ES	Spain	2227	167	2637542	963678	26621	2033
d126	2019-05-06	ES	Spain	2204	165	10447276	4510249	54715	8138
d125	2019-05-05	ES	Spain	2330	155	1792970	565913	34143	1241
d124	2019-05-04	ES	Spain	1779	162	1354611	464357	17280	1071
d123	2019-05-03	ES	Spain	1769	183	4881313	1887514	28488	2963
d122	2019-05-02	ES	Spain	1608	181	2051055	732862	15759	1140
d121	2019-05-01	ES	Spain	1560	179	1553516	541719	14581	1001
d120	2019-04-30	ES	Spain	1577	195	4848467	1700263	22746	2451
d119	2019-04-29	ES	Spain	1033	192	2259634	830032	10232	1485
d118	2019-04-28	ES	Spain	1069	194	2732004	1144672	15077	2636
d117	2019-04-27	ES	Spain	1125	227	4016801	1714593	21046	3733
d116	2019-04-26	ES	Spain	5436	295	63834917	25842981	450099	79822
d115	2019-04-25	ES	Spain	6854	299	71830132	27434820	629713	89314
d114	2019-04-24	ES	Spain	4075	296	42781487	17219775	325716	56356
d113	2019-04-23	ES	Spain	3420	305	37898254	14949768	289902	45241
d112	2019-04-22	ES	Spain	1853	300	24826337	9972024	146931	25495
d111	2019-04-21	ES	Spain	1606	284	16175224	6333684	103275	13125
d110	2019-04-20	ES	Spain	1737	287	16093140	6180632	121605	13068
d109	2019-04-19	ES	Spain	2133	293	14938609	5410652	111392	9930
d108	2019-04-18	ES	Spain	2165	298	22155748	7136657	140130	14989
d107	2019-04-17	ES	Spain	2332	301	19971789	6168871	121827	10079
d106	2019-04-16	ES	Spain	2346	304	20859133	6424110	125521	9463
d105	2019-04-15	ES	Spain	2093	341	27023193	9873278	171417	26867
d104	2019-04-14	ES	Spain	1231	329	6385129	2326060	26630	3812
d103	2019-04-13	ES	Spain	1091	332	7608324	3097887	30123	5575
d102	2019-04-12	ES	Spain	1118	355	6961870	2945265	41367	7320
d101	2019-04-11	ES	Spain	959	355	7246788	3162302	36510	8080
d100	2019-04-10	ES	Spain	880	344	5080922	2263522	28401	5661
d099	2019-04-09	ES	Spain	889	349	4238266	1840768	27510	4852
d098	2019-04-08	ES	Spain	864	352	3760336	1605349	23219	4462
d097	2019-04-07	ES	Spain	775	335	1242573	442092	5384	651
d096	2019-04-06	ES	Spain	781	341	1227154	452124	4976	680
d095	2019-04-05	ES	Spain	798	348	2113968	813657	8874	1134
d094	2019-04-04	ES	Spain	729	337	2330889	984751	12490	1802
d093	2019-04-03	ES	Spain	678	319	1614210	647066	10326	976
d092	2019-04-02	ES	Spain	612	299	1273052	502917	6391	708
d091	2019-04-01	ES	Spain	576	274	1588307	665232	6796	877
d090	2019-03-31	ES	Spain	683	275	1742716	707925	10291	1008
d089	2019-03-30	ES	Spain	624	275	1487953	628948	6718	1002
d088	2019-03-29	ES	Spain	664	286	3511090	1564864	16179	3042
d087	2019-03-28	ES	Spain	651	267	1687699	724216	7427	1185
d086	2019-03-27	ES	Spain	660	250	2067234	858282	11898	1268
d085	2019-03-26	ES	Spain	586	245	1434483	538422	9039	1403
d084	2019-03-25	ES	Spain	592	254	2165243	853455	5488	824
d083	2019-03-24	ES	Spain	572	265	783377	272003	3256	249
d082	2019-03-23	ES	Spain	583	269	895395	317098	3469	276
d081	2019-03-22	ES	Spain	858	294	1383197	423854	28220	481
d080	2019-03-21	ES	Spain	589	285	936446	348311	4997	406
d079	2019-03-20	ES	Spain	589	263	1918428	802512	11883	1236
d078	2019-03-19	ES	Spain	570	237	1057569	371653	10211	300
d077	2019-03-18	ES	Spain	530	224	1610195	626532	8302	977
d076	2019-03-17	ES	Spain	407	175	803240	283830	2735	225
d075	2019-03-16	ES	Spain	394	180	739924	262803	2945	211
d074	2019-03-15	ES	Spain	409	191	1815601	666454	7113	907
d073	2019-03-14	ES	Spain	396	165	1061417	341785	10415	576
d072	2019-03-13	ES	Spain	364	174	4447465	1762753	31063	5525
d071	2019-03-12	ES	Spain	337	172	603792	185086	5858	262
d070	2019-03-11	ES	Spain	322	176	1008348	388954	3845	377
