advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Loving Europe 2	Terence Brotheridge	999682533550783	Facebook	d130	2019-05-10	UK	United Kingdom	28	1	11184	1821	446	0
Unite the union	Unite the union	175584152579855	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	11111	5555	64	12
Scottish Enterprise	Scottish Enterprise	172043092819095	Facebook	d130	2019-05-10	UK	United Kingdom	7	1	10619	2190	47	2
Scottish Environment LINK	Scottish Environment LINK	442955795745050	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	10511	2602	142	0
Bath for Europe	#ProjectHope	341079676234366	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	9999	2000	115	23
Guardian Weekly		64525551258	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	9398	1874	82	14
Jamie Smart	Clarity Academy Ltd	48465776527	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	9347	3173	36	5
Neville Seed MEP Candidate	Neville Seed	448870642552356	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	9090	4545	52	10
Ian Sowden - European Parliament London	Ian Sowden	402853723885527	Facebook	d130	2019-05-10	UK	United Kingdom	9	1	9087	3142	168	0
Mayor Kate Allsop - Manifesto and Election	Mayor Kate Allsop	320364355338661	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	8526	3567	65	12
Gateshead Labour Party	Pamela Marie Burns	485789368166508	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	8499	1666	38	0
Mike Hookem MEP	Mike Hookem MEP	628368003989904	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	8363	2818	54	0
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	8333	1666	96	19
Peterborough Labour Party	The Labour Party	927033024024138	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	8333	1666	96	19
Green Lane Masjid	Green Lane Masjid & Community Centre	173087829397613	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	8333	1666	96	19
UK24 TV	Adeel Saleem	407469139802767	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	8333	1666	19	0
Wandsworth Labour	Wandsworth Labour	185625017130	Facebook	d130	2019-05-10	UK	United Kingdom	5	1	8331	1666	190	0
مفوضية اللاجئين		188842724507690	Facebook	d130	2019-05-10	UK	United Kingdom	6	1	8073	3223	73	14
Travel Insurance Explained	Miss Rebecca Marie Kingsley	1377965505551865	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	7692	3846	44	8
10:10 climate action	10:10 climate action	131681033513	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	7536	3637	53	7
Dave Chrisp Comedy	David Chrisp	210713339427124	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	7499	3000	114	0
Yorkshire Party	the Yorkshire Party	1416178118647779	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	7142	1428	82	16
