country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PT	Portugal	lisbon_district	Lisbon District	3435	1054	3709581	1353950	17622	1995
PT	Portugal	porto_district	Porto District	3017	928	1707939	672263	7092	577
PT	Portugal	aveiro_district	Aveiro District	2508	783	443759	190525	1287	186
PT	Portugal	braga_district	Braga District	2615	842	412268	169206	1976	145
PT	Portugal	setubal_district	Setúbal District	2661	848	330868	104913	1654	73
PT	Portugal	faro_district	Faro District	2815	858	200279	64477	1816	41
PT	Portugal	coimbra_district	Coimbra District	2531	796	187777	63912	620	52
PT	Portugal	santarem_district	Santarém District	2375	787	172592	45765	855	25
PT	Portugal	leiria_district	Leiria District	2458	780	128300	39661	563	37
PT	Portugal	viseu_district	Viseu District	2328	720	61876	22854	418	17
PT	Portugal	viana_do_castelo_district	Viana do Castelo District	2539	728	38766	12720	362	8
PT	Portugal	vila_real_district	Vila Real District	2060	646	35103	8935	409	4
PT	Portugal	castelo_branco_district	Castelo Branco District	2140	689	31508	11872	245	5
PT	Portugal	evora_district	Évora District	2174	698	19087	6851	62	11
PT	Portugal	beja_district	Beja District	2026	660	14891	4593	143	4
PT	Portugal	portalegre_district	Portalegre District	2092	646	7041	2585	21	2
PT	Portugal	guarda_district	Guarda District	1913	636	6670	2381	21	2
