advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	2094	1	297964906	132217000	1510085	375239
Podemos	Unidas Podemos	269212336568846	Facebook	f	Facebook	333	1	105271667	47099000	623567	162200
People's Vote UK	People's Vote	748608695327755	Facebook	f	Facebook	3562	1	96064438	33175000	1260918	225652
Ciudadanos	Ciudadanos	74078667754	Facebook	f	Facebook	6229	1	90960771	27827000	885171	68300
Kialo		729627343834501	Facebook	f	Facebook	859	1	87083141	33967000	574368	138718
Britain's Future	Britain's Future	1625300137516491	Facebook	f	Facebook	4488	1	83742512	25934000	1003644	137011
Partido Popular	Partido Popular	72249031214	Facebook	f	Facebook	3644	1	81745356	28177000	586556	61100
European Greens		141366725876424	Facebook	f	Facebook	285	1	63494715	27940000	363015	88900
SPD	SPD	47930567748	Facebook	f	Facebook	9594	1	58752406	16833000	1188406	64500
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	Facebook	4082	1	55550918	18721000	791075	98939
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f	Facebook	252	1	51255748	22990000	120358	27208
sp.a	sp.a	57253967150	Facebook	f	Facebook	459	1	48098541	19608000	229941	50500
Conservatives	The Conservative Party	8807334278	Facebook	f	Facebook	2486	1	45906514	17588000	558360	71977
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	Facebook	103	1	43072897	19600000	95029	27187
Best For Britain	Best for Britain	1863944713844924	Facebook	f	Facebook	874	1	40589126	17212000	502944	118496
The Labour Party	The Labour Party	25749647410	Facebook	f	Facebook	697	1	40034303	16155000	331306	71398
FDP	FDP	21289227249	Facebook	f	Facebook	2925	1	39881075	12124000	362575	19900
CDU	CDU	78502295414	Facebook	f	Facebook	3170	1	38647830	9275000	347030	8300
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	Facebook	2415	1	37057585	12764000	429878	44898
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	f	Facebook	134	1	32572866	13617000	129366	41300
România în primul rând	Future Innovation	770704223323599	Facebook	f	Facebook	95	1	32214905	14081000	33596	8320
Greenpeace France		39435457457	Facebook	f	Facebook	130	1	31535870	14323000	159370	37000
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f	Facebook	77	1	31475923	14598000	242423	61300
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	f	Facebook	68	1	31115932	14483000	63839	28469
European Commission		107898832590939	Facebook	f	Facebook	92	1	30386908	13977000	122608	31200
