advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	image	Image	25	1	304720000	30470000	392850	6750
AMERISOFT SRL		AR573801583431647232	Google	image	Image	216	1	247140000	24660000	22950	1350
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	image	Image	174	1	138450000	13770000	689650	13450
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	image	Image	44	1	123830000	12370000	396950	7100
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	image	Image	95	1	109760000	10940000	255600	5250
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	image	Image	155	1	94610000	9390000	234050	5350
Freiheitliche Partei Österreich		AR333020356698701824	Google	image	Image	18	1	66600000	6660000	273150	4800
COALICION CANARIA		AR489541609348661248	Google	image	Image	4737	1	62760000	1640000	240450	400
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	image	Image	884	1	49970000	4310000	55000	1200
HEADS, s.r.o.		AR356967719951663104	Google	image	Image	30	1	43230000	4320000	66350	1550
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	image	Image	176	1	42620000	4230000	8800	0
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	image	Image	144	1	39510000	3880000	12150	550
SOCIALDEMOKRATIET		AR271193993235136512	Google	image	Image	85	1	38830000	3850000	616300	11450
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	image	Image	31	1	37750000	3770000	5600	450
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	image	Image	17	1	36530000	3650000	213200	3800
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	image	Image	200	1	35660000	3430000	14050	450
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	image	Image	324	1	34290000	3220000	27450	1250
Det Konservative Folkeparti		AR40969452518375424	Google	image	Image	37	1	31960000	3180000	245950	4500
Partido Popular Regional De Canarias		AR288284801977286656	Google	image	Image	148	1	25600000	2490000	14600	800
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	image	Image	118	1	25120000	2440000	9050	350
Občanska demokraticka strana		AR386241117529571328	Google	image	Image	64	1	24850000	2430000	65350	1250
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	image	Image	1839	1	23700000	580000	91950	0
Partido Animalista PACMA		AR145115193901318144	Google	image	Image	9	1	23220000	2320000	61250	1100
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	image	Image	28	1	22060000	2200000	2750	150
Párbeszéd Magyarországért		AR567356246269624320	Google	image	Image	3	1	21000000	2100000	60500	1050
mmb media agentur d.o.o.		AR524572049809604608	Google	image	Image	1086	1	19230000	880000	54300	0
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	image	Image	10	1	18100000	1810000	64000	1400
Alternativet		AR198061076825243648	Google	image	Image	10	1	17110000	1710000	33600	850
Sloboda a Solidarita		AR242125929453715456	Google	image	Image	173	1	16670000	1540000	13150	500
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	image	Image	38	1	16670000	1660000	7300	600
Slovenska demokratska stranka		AR170068335415787520	Google	image	Image	32	1	16610000	1660000	1600	0
Open Vld		AR369049153717665792	Google	image	Image	382	1	16510000	1340000	34850	1750
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	image	Image	98	1	15650000	1510000	14800	1100
HLAS		AR312619193323225088	Google	image	Image	784	1	15400000	820000	41450	250
CDA Doetinchem		AR453512812329697280	Google	image	Image	52	1	13210000	1300000	3950	150
Mediabrands Digital OÜ		AR530356305605427200	Google	image	Image	339	1	13020000	1060000	16950	0
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	image	Image	8	1	11150000	1110000	1300	100
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	image	Image	2	1	11000000	1100000	30500	550
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	image	Image	45	1	10530000	1030000	6750	500
Arnora Oy		AR181544213152792576	Google	image	Image	1	1	10000000	1000000	500	50
Nye Borgerlige		AR447862147196649472	Google	image	Image	1	1	10000000	1000000	500	50
UAB "BPN LT"		AR135010682042056704	Google	image	Image	34	1	8800000	880000	4400	300
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	image	Image	45	1	8730000	850000	36250	950
Cink, s.r.o.		AR361287976015101952	Google	image	Image	31	1	8590000	850000	3800	250
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	image	Image	47	1	7580000	730000	5500	350
Pametno		AR222880077921124352	Google	image	Image	42	1	7080000	690000	2100	0
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	image	Image	276	1	6180000	350000	74150	1050
Progresívne Slovensko		AR114793686864232448	Google	image	Image	25	1	5380000	530000	3950	300
Fianna Fáil		AR101183107301900288	Google	image	Image	18	1	4140000	410000	2250	150
Rumilus Design Oy		AR391102333313875968	Google	image	Image	32	1	4100000	390000	1600	0
Strana nezávislosti České republiky		AR465054111008555008	Google	image	Image	11	1	3620000	360000	550	0
Flamesite s.r.o.		AR522320249995919360	Google	image	Image	182	1	2990000	130000	9550	50
Jukka Kopra		AR232680299937398784	Google	image	Image	7	1	2320000	230000	91100	1600
Saku Petteri Räty		AR196651502918434816	Google	image	Image	4	1	2110000	210000	61000	1100
CDU-Kreisverband Neustadt		AR152876371603881984	Google	image	Image	2	1	2000000	200000	1000	100
TOP 09		AR268709096956362752	Google	image	Image	126	1	1980000	80000	6300	0
Teknologia ja tulevaisuus ry		AR340766690994290688	Google	image	Image	14	1	1760000	170000	2050	150
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	image	Image	90	1	1530000	70000	5850	150
EUpositive.sk		AR348804120993333248	Google	image	Image	16	1	1510000	140000	1250	50
Savo-Karjalan vihreät ry		AR343251587273064448	Google	image	Image	24	1	1230000	110000	1200	0
