audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	CY	Cyprus	1459	384	2295218	744565	9421	714
m18_24	male (18-24)	CY	Cyprus	1345	355	1907931	649893	7721	658
m35_44	male (35-44)	CY	Cyprus	1432	377	1824378	561655	7555	461
m45_54	male (45-54)	CY	Cyprus	1387	364	1529571	462585	6704	344
m55_64	male (55-64)	CY	Cyprus	1280	339	1295537	372580	5523	221
f25_34	female (25-34)	CY	Cyprus	1530	404	1238863	413137	5526	535
f35_44	female (35-44)	CY	Cyprus	1497	394	1200734	384735	5311	438
f45_54	female (45-54)	CY	Cyprus	1453	380	1107627	347635	4687	334
f18_24	female (18-24)	CY	Cyprus	1399	372	1067918	377213	4560	443
f55_64	female (55-64)	CY	Cyprus	1340	353	1026117	305681	4025	207
m65_	male (65+)	CY	Cyprus	1191	310	766901	223060	3336	140
f65_	female (65+)	CY	Cyprus	1228	317	568740	171011	2276	118
f13_17	female (13-17)	CY	Cyprus	202	59	56567	22729	144	10
m13_17	male (13-17)	CY	Cyprus	194	57	54905	22021	152	13
u35_44	unknown (35-44)	CY	Cyprus	1308	348	45371	14387	187	11
u25_34	unknown (25-34)	CY	Cyprus	1257	340	32842	10564	137	9
u45_54	unknown (45-54)	CY	Cyprus	1190	322	19522	6364	82	5
u55_64	unknown (55-64)	CY	Cyprus	998	290	10188	3130	45	2
u65_	unknown (65+)	CY	Cyprus	916	272	6596	2087	30	1
u18_24	unknown (18-24)	CY	Cyprus	793	278	2769	1022	11	1
u13_17	unknown (13-17)	CY	Cyprus	116	44	161	65	0	0
