country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PT	Portugal	lisbon_district	Lisbon District	3331	1021	3675177	1338414	17210	2013
PT	Portugal	porto_district	Porto District	2925	900	1714248	678051	7058	585
PT	Portugal	aveiro_district	Aveiro District	2435	763	443897	190817	1278	187
PT	Portugal	braga_district	Braga District	2535	819	414485	170361	1966	145
PT	Portugal	setubal_district	Setúbal District	2583	826	282721	92871	1656	74
PT	Portugal	faro_district	Faro District	2733	834	199169	64367	1811	41
PT	Portugal	coimbra_district	Coimbra District	2449	774	186540	63404	607	52
PT	Portugal	santarem_district	Santarém District	2296	764	172688	45855	851	25
PT	Portugal	leiria_district	Leiria District	2376	757	128607	39946	558	37
PT	Portugal	viseu_district	Viseu District	2252	700	62078	22984	415	17
PT	Portugal	vila_real_district	Vila Real District	2000	629	35209	8997	408	4
PT	Portugal	viana_do_castelo_district	Viana do Castelo District	2475	707	34040	11838	262	8
PT	Portugal	castelo_branco_district	Castelo Branco District	2070	671	31529	11895	244	5
PT	Portugal	evora_district	Évora District	2109	679	19171	6912	62	11
PT	Portugal	beja_district	Beja District	1968	645	14961	4618	143	4
PT	Portugal	portalegre_district	Portalegre District	2028	630	7010	2573	20	2
PT	Portugal	guarda_district	Guarda District	1845	621	6683	2392	20	2
