advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	1515	1	197777485	87337000	1008411	250309
Podemos	Unidas Podemos	269212336568846	Facebook	f	Facebook	331	1	104971669	46949000	622569	162000
People's Vote UK	People's Vote	748608695327755	Facebook	f	Facebook	3536	1	95789464	33076000	1259328	225999
Ciudadanos	Ciudadanos	74078667754	Facebook	f	Facebook	6245	1	91000755	27833000	886755	68300
Britain's Future	Britain's Future	1625300137516491	Facebook	f	Facebook	4488	1	83742512	25934000	1003644	137011
Partido Popular	Partido Popular	72249031214	Facebook	f	Facebook	3644	1	81745356	28177000	586556	61100
Kialo		729627343834501	Facebook	f	Facebook	706	1	79524294	31886000	522521	128718
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	Facebook	3486	1	48474514	16304000	683452	86557
Conservatives	The Conservative Party	8807334278	Facebook	f	Facebook	2172	1	45375828	17506000	516717	70241
Best For Britain	Best for Britain	1863944713844924	Facebook	f	Facebook	873	1	40529127	17167000	502251	118033
SPD	SPD	47930567748	Facebook	f	Facebook	6201	1	38482799	11577000	787699	44900
The Labour Party	The Labour Party	25749647410	Facebook	f	Facebook	655	1	36847345	14586000	311220	67464
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	Facebook	2303	1	33398697	11113000	394366	40385
European Commission		107898832590939	Facebook	f	Facebook	92	1	30386908	13977000	122608	31200
CDU	CDU	78502295414	Facebook	f	Facebook	3170	1	30302830	7531000	313830	0
sp.a	sp.a	57253967150	Facebook	f	Facebook	232	1	28804768	12015000	136968	31800
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	Facebook	76	1	26812924	11805000	61187	17081
Greenpeace France		39435457457	Facebook	f	Facebook	127	1	26290873	11787000	133873	31000
PSOE	PSOE	189318235003	Facebook	f	Facebook	334	1	24965666	10019000	77166	14100
38 Degrees	38 Degrees	200006375787	Facebook	f	Facebook	615	1	24061385	8813000	163030	24069
We are the 52%	We are the 52%	466744973727718	Facebook	f	Facebook	278	1	23669722	8727000	66679	9026
Sacramento Kings		96222644025	Facebook	f	Facebook	33	1	22399967	10300000	17328	5073
Sosialidemokraatit SDP		108945982480217	Facebook	f	Facebook	263	1	21046737	8389000	130337	29600
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f	Facebook	57	1	20775943	9528000	137443	31900
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	f	Facebook	283	1	20041717	8071000	94617	17800
