media_code	media_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
image	Image	25439	122	4118360000	390500000	8644400	171600
video	Video	7863	130	1436010000	137590000	13012200	369300
text	Text	4663	104	133570000	9020000	5591750	146500
