advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	video	Video	16	1	175300000	17530000	451000	36600
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	video	Video	46	1	145810000	14580000	849050	43900
Future Innovation SRL		AR474748779908562944	Google	video	Video	26	1	123200000	12320000	396050	7100
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	video	Video	23	1	111200000	11120000	453550	7850
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	video	Video	30	1	79320000	7930000	662650	11250
CDU Christlich Demokratische Union		AR68737343799951360	Google	video	Video	4980	1	75810000	2890000	562650	34850
European Parliament		AR345426421272805376	Google	video	Video	338	1	64850000	6370000	884950	20100
NEA DEMOKRATIA		AR351183464155840512	Google	video	Video	34	1	53980000	5390000	337450	6200
Freiheitliche Partei Österreich		AR333020356698701824	Google	video	Video	7	1	33100000	3310000	181000	32100
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	video	Video	51	1	28950000	2880000	549300	9850
Partito Democratico		AR254356072167374848	Google	video	Video	16	1	28420000	2840000	243100	4300
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	video	Video	29	1	28190000	2810000	216050	4050
OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)		AR392996516970627072	Google	video	Video	12	1	27210000	2720000	241550	4150
Open Vld		AR369049153717665792	Google	video	Video	88	1	26710000	2670000	218750	6850
Lega per Salvini Premier		AR158424507277639680	Google	video	Video	17	1	25820000	2580000	154650	2950
SOCIALDEMOKRATIET		AR271193993235136512	Google	video	Video	57	1	25320000	2530000	854500	15450
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	video	Video	110	1	23150000	2300000	237650	6000
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	video	Video	5	1	22010000	2200000	90550	1550
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	video	Video	9	1	20430000	2040000	62150	1200
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	video	Video	134	1	20060000	1940000	55100	2550
Venstres Landsorganisation		AR283015942256984064	Google	video	Video	266	1	19490000	1750000	728250	14400
Suomen Keskusta r.p.		AR441112520191639552	Google	video	Video	32	1	18950000	1880000	304700	5400
Liberal Alliance		AR183859784640888832	Google	video	Video	180	1	14220000	1300000	301950	7100
Start Business Hellas Single Member P.C.		AR513164341793521664	Google	video	Video	6	1	14010000	1400000	150050	2500
KKW Lewica Razem – Razem, Unia Pracy, RSS		AR374597289391423488	Google	video	Video	13	1	13000000	1300000	6500	650
Fondation Populaire		AR320938922932699136	Google	video	Video	25	1	11320000	1130000	188150	3800
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	video	Video	4	1	11200000	1120000	61000	1100
AMERISOFT SRL		AR573801583431647232	Google	video	Video	2	1	11000000	1100000	60000	1000
SPOLU - občianska demokracia		AR194838133366325248	Google	video	Video	29	1	9740000	960000	214250	3850
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	video	Video	20	1	9560000	950000	213800	3850
Bündnis90/ Die Grünen		AR207068276079984640	Google	video	Video	25	1	8710000	870000	396000	7100
COALICION CANARIA		AR489541609348661248	Google	video	Video	38	1	8210000	800000	127550	2650
Sloboda a Solidarita		AR242125929453715456	Google	video	Video	123	1	7620000	680000	53200	2400
DOPRAVA		AR56197688563073024	Google	video	Video	8	1	7100000	710000	151050	2600
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	video	Video	30	1	6870000	680000	36850	1100
SF - Socialistisk Folkeparti		AR76998249537339392	Google	video	Video	15	1	6540000	650000	212200	3700
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	video	Video	11	1	5600000	560000	123500	2350
Socialdemokratiet		AR237678679797268480	Google	video	Video	45	1	5040000	490000	76550	2600
Partido Animalista PACMA		AR145115193901318144	Google	video	Video	5	1	5000000	500000	150000	2500
Občanská demokratická strana		AR37429025076936704	Google	video	Video	14	1	4910000	490000	65550	1550
Slovenská ľudová strana Andreja Hlinku		AR443277183708823552	Google	video	Video	101	1	4700000	410000	14500	1050
Alternativet		AR198061076825243648	Google	video	Video	8	1	4310000	430000	210050	3500
Volt Nederland		AR24721694316822528	Google	video	Video	15	1	3930000	390000	94650	1950
COALICIO COMPROMIS:BLOC-INICIATIVA-VERDS		AR564955737508282368	Google	video	Video	18	1	3870000	380000	34900	950
Barcelona en Comú		AR342176264901099520	Google	video	Video	72	1	3780000	320000	8100	500
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	video	Video	23	1	3650000	360000	7900	750
Sozialdemokratische Partei Österreich		AR89974685768351744	Google	video	Video	12	1	3450000	340000	121750	2150
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	video	Video	6	1	3300000	330000	91500	1650
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	video	Video	6	1	3210000	320000	31600	650
SME RODINA - Boris Kollár		AR525909055948980224	Google	video	Video	5	1	3200000	320000	61500	1150
Konfederacja KORWiN Braun Liroy Narodowcy		AR316331969212317696	Google	video	Video	9	1	3150000	310000	60800	1050
Cink, s.r.o.		AR361287976015101952	Google	video	Video	8	1	3050000	300000	31250	600
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	video	Video	3	1	3000000	300000	60500	1050
Projekt Európa		AR303746959120793600	Google	video	Video	22	1	2740000	260000	3800	300
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	video	Video	10	1	2710000	270000	63550	1350
Slovenska demokratska stranka		AR170068335415787520	Google	video	Video	7	1	2500000	250000	31650	650
Párbeszéd Magyarországért		AR567356246269624320	Google	video	Video	14	1	2480000	240000	2500	200
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	video	Video	6	1	2400000	240000	91500	1650
Sozialdemokratische Partei Deutschlands SPD		AR224933965641809920	Google	video	Video	4	1	2200000	220000	31500	650
Green Party of Ireland / Comhaontas Glas		AR236111600849780736	Google	video	Video	6	1	2130000	210000	60650	1050
Maria Spyraki		AR80818777565954048	Google	video	Video	3	1	2010000	200000	1050	100
Partidul Pro Romania		AR116025139887341568	Google	video	Video	2	1	2000000	200000	30500	550
Trendmark		AR82989213519183872	Google	video	Video	2	1	2000000	200000	60000	1000
Freie Demokratische Partei (FDP)		AR134039538396823552	Google	video	Video	50	1	1850000	150000	10150	850
Kresťanská únia		AR358916054556082176	Google	video	Video	9	1	1710000	170000	4050	400
KW Prawo i Sprawiedliwość		AR32708546780987392	Google	video	Video	102	1	1380000	40000	5100	0
Strana nezávislosti České republiky		AR465054111008555008	Google	video	Video	4	1	1300000	130000	30150	500
Avante Comunicación SL		AR486291452976955392	Google	video	Video	47	1	1280000	90000	3700	150
Mediabrands Digital OÜ		AR530356305605427200	Google	video	Video	11	1	1280000	120000	1450	100
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	video	Video	5	1	1130000	110000	1150	100
Svobodní		AR190231179645943808	Google	video	Video	3	1	1110000	110000	1050	100
MPhilms		AR260140327963197440	Google	video	Video	3	1	1110000	110000	1050	100
Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK"		AR420861715031261184	Google	video	Video	2	1	1100000	110000	550	50
