advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	image	Image	240	1	401100000	40050000	706900	15000
Future Innovation SRL		AR474748779908562944	Google	image	Image	42	1	393720000	39370000	578350	10300
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	image	Image	80	1	382400000	38240000	563800	11300
AMERISOFT SRL		AR573801583431647232	Google	image	Image	217	1	259840000	25930000	25700	1650
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	image	Image	20	1	230510000	23050000	334050	5900
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	image	Image	174	1	138450000	13770000	689650	13450
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	image	Image	57	1	123960000	12370000	399850	7350
Partidul Pro Romania		AR116025139887341568	Google	image	Image	125	1	106010000	10560000	16600	1150
Det Konservative Folkeparti		AR40969452518375424	Google	image	Image	62	1	83420000	8320000	340200	6350
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	image	Image	125	1	81980000	8150000	233000	5400
SOCIALDEMOKRATIET		AR271193993235136512	Google	image	Image	125	1	80450000	8020000	899550	17250
COALICION CANARIA		AR489541609348661248	Google	image	Image	5384	1	77240000	2510000	273700	500
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	image	Image	31	1	74830000	7480000	67300	1650
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	image	Image	150	1	73230000	7250000	44650	1300
CDU Christlich Demokratische Union		AR68737343799951360	Google	image	Image	6891	1	69360000	50000	344550	0
Freiheitliche Partei Österreich		AR333020356698701824	Google	image	Image	18	1	69300000	6930000	333500	5850
Sloboda a Solidarita		AR242125929453715456	Google	image	Image	441	1	67410000	6430000	74500	3000
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	image	Image	882	1	57420000	5060000	58500	1600
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	image	Image	17	1	56420000	5640000	273100	4800
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	image	Image	466	1	53980000	5100000	45350	2450
HEADS, s.r.o.		AR356967719951663104	Google	image	Image	30	1	52230000	5220000	67250	1650
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	image	Image	20	1	51500000	5150000	155700	3050
Popolari per l'Italia		AR406403961759727616	Google	image	Image	5	1	50000000	5000000	91000	1600
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	image	Image	245	1	47360000	4590000	51200	1500
Partido Popular Regional De Canarias		AR288284801977286656	Google	image	Image	287	1	46880000	4530000	26950	1400
Partido Animalista PACMA		AR145115193901318144	Google	image	Image	15	1	45060000	4500000	122350	2200
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	image	Image	176	1	42620000	4230000	8800	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	image	Image	2129	1	42260000	2230000	110050	400
Občanska demokraticka strana		AR386241117529571328	Google	image	Image	86	1	40280000	3960000	69150	1550
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	image	Image	258	1	39840000	3810000	47800	1050
CDA Doetinchem		AR453512812329697280	Google	image	Image	67	1	38110000	3790000	6050	300
Slovenska demokratska stranka		AR170068335415787520	Google	image	Image	40	1	36400000	3640000	9200	800
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	image	Image	17	1	33200000	3320000	67050	1700
NEW GEN PUBLISHING SRL		AR55967615754960896	Google	image	Image	63	1	32670000	3250000	9000	650
Open Vld		AR369049153717665792	Google	image	Image	633	1	30450000	2610000	47400	1750
Párbeszéd Magyarországért		AR567356246269624320	Google	image	Image	3	1	30000000	3000000	90000	1500
SPOLU - občianska demokracia		AR194838133366325248	Google	image	Image	32	1	29750000	2960000	94150	1800
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	image	Image	169	1	29140000	2800000	12050	400
mmb media agentur d.o.o.		AR524572049809604608	Google	image	Image	1119	1	28290000	1780000	57750	200
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	image	Image	30	1	26040000	2600000	2850	150
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	image	Image	933	1	21840000	1320000	234000	3850
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	image	Image	42	1	21390000	2130000	11100	1000
Antikorupcija-platforma za borbu protiv korupcije		AR441827202749693952	Google	image	Image	5	1	21110000	2110000	30650	550
HLAS		AR312619193323225088	Google	image	Image	903	1	18120000	980000	48750	400
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	image	Image	106	1	17980000	1760000	28250	2550
UAB "BPN LT"		AR135010682042056704	Google	image	Image	34	1	17800000	1780000	33900	750
Alternativet		AR198061076825243648	Google	image	Image	10	1	17110000	1710000	33600	850
Pametno		AR222880077921124352	Google	image	Image	42	1	17070000	1700000	5700	400
Mediabrands Digital OÜ		AR530356305605427200	Google	image	Image	343	1	17020000	1480000	18050	100
ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ ΕΔΕΚ		AR519097306537000960	Google	image	Image	51	1	14820000	1470000	2550	0
Slovenská ľudová strana Andreja Hlinku		AR443277183708823552	Google	image	Image	86	1	14720000	1430000	12850	950
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	image	Image	45	1	14580000	1440000	38500	1200
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	image	Image	4	1	13000000	1300000	31500	650
