advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Už Ingridą	Ingrida Šimonytė	2214495192154107	Facebook	w020	Week 20	LT	Lithuania	12	1	631589	238535	1538	233
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	w020	Week 20	LT	Lithuania	8	1	344997	145666	1980	390
European Parliament	European Parliament	178362315106	Facebook	w020	Week 20	LT	Lithuania	2	1	299998	149999	748	149
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	w020	Week 20	LT	Lithuania	5	1	244998	116499	788	149
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)	TS-LKD	198988713464683	Facebook	w020	Week 20	LT	Lithuania	3	1	114165	45833	456	76
Viktoras Uspaskich	Darbo partija	160851767470	Facebook	w020	Week 20	LT	Lithuania	7	1	110466	22950	808	141
Waldemar Tomaszewski / Valdemar Tomaševski	Zacharevic Raimund	169414316438308	Facebook	w020	Week 20	LT	Lithuania	1	1	83333	33333	166	83
prof. dr. Vytautas Radžvilas	prof. dr. Vytautas Radžvilas	62378591336	Facebook	w020	Week 20	LT	Lithuania	4	1	66830	14166	255	0
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	w020	Week 20	LT	Lithuania	5	1	64830	14766	259	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	w020	Week 20	LT	Lithuania	20	1	59291	25603	427	43
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	w020	Week 20	LT	Lithuania	2	1	35415	7083	70	0
Lemiamas šuolis	Rinkimų komitetas "Lemiamas šuolis"	993853767374212	Facebook	w020	Week 20	LT	Lithuania	7	1	32413	6416	273	20
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	w020	Week 20	LT	Lithuania	1	1	24999	4999	49	0
Tatjana Babrauskienė	LVŽS	1101509610035530	Facebook	w020	Week 20	LT	Lithuania	2	1	16999	3333	66	0
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	w020	Week 20	LT	Lithuania	1	1	16666	8333	83	16
Petras Auštrevičius	Lietuvos Respublikos liberalų sąjūdžio rinkimų sąskaita	1482024028702535	Facebook	w020	Week 20	LT	Lithuania	3	1	8999	1666	82	0
Už LSDP į Europos Parlamentą		1545031192307207	Facebook	w020	Week 20	LT	Lithuania	2	1	5221	1000	107	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	w020	Week 20	LT	Lithuania	1	1	4568	2284	11	2
European Commission	European Commission	107898832590939	Facebook	w020	Week 20	LT	Lithuania	2	1	1909	954	4	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	w020	Week 20	LT	Lithuania	2	1	1659	557	5	0
Vote for a Woman / Stem op een Vrouw		1329572193784367	Facebook	w020	Week 20	LT	Lithuania	1	1	326	65	0	0
Baiba Rubesa	Partiju apvienība Attīstībai/Par!	557368648087077	Facebook	w020	Week 20	LT	Lithuania	5	1	10	2	0	0
Valdis Dombrovskis	Valdis Dombrovskis	984665731564266	Facebook	w020	Week 20	LT	Lithuania	2	1	7	1	0	0
MN Benito		1273446302821491	Facebook	w020	Week 20	LT	Lithuania	1	1	5	0	0	0
Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości	612725748801524	Facebook	w020	Week 20	LT	Lithuania	1	1	3	0	0	0
