gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	FI	Finland	5649	1164	39183635	13741402	384184	60302
m	male	FI	Finland	5251	1124	31631596	10936659	329115	49967
u	unknown	FI	Finland	4741	1063	906848	310875	8970	1311
