region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
aveiro_district	Aveiro District	PT	Portugal	156	25	55178	25580	174	33
beja_district	Beja District	PT	Portugal	142	21	2575	1155	7	1
braga_district	Braga District	PT	Portugal	160	27	185079	87524	557	106
castelo_branco_district	Castelo Branco District	PT	Portugal	151	22	4695	2100	13	2
coimbra_district	Coimbra District	PT	Portugal	155	26	33571	14736	103	17
faro_district	Faro District	PT	Portugal	147	24	29797	13705	97	19
guarda_district	Guarda District	PT	Portugal	145	20	1999	886	5	1
leiria_district	Leiria District	PT	Portugal	156	25	24348	11093	79	14
lisbon_district	Lisbon District	PT	Portugal	168	29	880880	380381	3634	567
portalegre_district	Portalegre District	PT	Portugal	143	23	1782	802	4	0
porto_district	Porto District	PT	Portugal	164	31	597284	275581	2016	360
santarem_district	Santarém District	PT	Portugal	152	24	19430	8806	59	11
setubal_district	Setúbal District	PT	Portugal	157	27	64339	27372	315	39
viana_do_castelo_district	Viana do Castelo District	PT	Portugal	164	25	9296	4338	26	5
vila_real_district	Vila Real District	PT	Portugal	150	23	4397	1962	13	2
viseu_district	Viseu District	PT	Portugal	159	26	13640	6149	40	7
evora_district	Évora District	PT	Portugal	153	24	3966	1782	11	2
