country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BG	Bulgaria	sofia_city_province	Sofia City Province	2405	644	4300734	1380898	21836	1925
BG	Bulgaria	plovdiv_province	Plovdiv Province	1856	523	345586	111540	1056	65
BG	Bulgaria	varna_province	Varna Province	1817	520	288663	81437	1109	36
BG	Bulgaria	burgas_province	Burgas Province	1704	500	223279	55630	714	17
BG	Bulgaria	blagoevgrad_province	Blagoevgrad Province	1601	483	115692	32291	983	11
BG	Bulgaria	ruse_province	Ruse Province	1528	442	89405	28453	987	7
BG	Bulgaria	pazardzhik_province	Pazardzhik Province	1434	413	66489	17225	244	6
BG	Bulgaria	yambol_province	Yambol Province	1259	367	57054	12612	111	1
BG	Bulgaria	stara_zagora_province	Stara Zagora Province	1569	449	47026	17684	254	13
BG	Bulgaria	veliko_tarnovo_province	Veliko Tarnovo Province	1528	444	44339	19051	253	6
