recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-13	2019-05-13	CZ	Czechia	788	142	1961697	683422	5275	1479
rd2	Last 2 days	2019-05-12	2019-05-13	CZ	Czechia	898	157	4336573	1484465	11948	3311
rd3	Last 3 days	2019-05-11	2019-05-13	CZ	Czechia	950	163	6871662	2356591	19737	5338
rd4	Last 4 days	2019-05-10	2019-05-13	CZ	Czechia	1845	171	12816490	4041032	41980	10311
rd5	Last 5 days	2019-05-09	2019-05-13	CZ	Czechia	1910	176	15932197	5242218	51271	12743
rd6	Last 6 days	2019-05-08	2019-05-13	CZ	Czechia	1997	185	18314147	6092470	58758	14687
rw1	Last week	2019-05-07	2019-05-13	CZ	Czechia	2174	192	21521921	7263015	69095	17173
rw2	Last 2 weeks	2019-04-30	2019-05-13	CZ	Czechia	2733	265	35932567	12587068	119294	32173
rw3	Last 3 weeks	2019-04-23	2019-05-13	CZ	Czechia	3669	325	47569399	16231915	170338	46613
rw4	Last 4 weeks	2019-04-16	2019-05-13	CZ	Czechia	4074	392	55659407	18918750	197712	53372
rm1	Last month	2019-04-14	2019-05-13	CZ	Czechia	4272	416	59141851	20209274	215148	57209
rm2	Last 2 months	2019-03-15	2019-05-13	CZ	Czechia	5494	768	75421639	26312557	285911	71169
rm3	Last 3 months	2019-02-13	2019-05-13	CZ	Czechia	5849	841	78525286	27252182	293578	72521
rm6	Last 6 months	2019-01-01	2019-05-13	CZ	Czechia	6023	877	79699219	27638310	296755	73312
