country_code_filter	country_name_filter	spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
DK	Denmark	0_1k	0 - 1k	9451	1477	85816807	24200364	726798	165798
DK	Denmark	1k_5k	1k - 5k	191	62	13816789	6277832	186728	51943
DK	Denmark	5k_10k	5k - 10k	35	19	2209029	1004509	42187	8461
DK	Denmark	10k_50k	10k - 50k	1	1	10888	5444	484	96
