age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	PT	Portugal	614	239	1610017	597088	3577	325
18_24	18-24	PT	Portugal	3847	1110	19639837	8157923	59066	9993
25_34	25-34	PT	Portugal	4417	1250	11702745	4742841	42009	6740
35_44	35-44	PT	Portugal	4313	1228	8301123	3232468	29749	4484
45_54	45-54	PT	Portugal	4270	1177	6231881	2383242	22956	3285
55_64	55-64	PT	Portugal	3467	1050	4675494	1768999	17833	2176
65_	65+	PT	Portugal	2931	918	3800350	1444965	14804	1860
