age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	SE	Sweden	1524	418	3186262	1118220	18615	4314
18_24	18-24	SE	Sweden	9713	1825	37017768	13237701	285097	72272
25_34	25-34	SE	Sweden	11534	2007	48184424	16877524	391996	97236
35_44	35-44	SE	Sweden	11523	1987	38069626	12863534	319235	78331
45_54	45-54	SE	Sweden	10974	1934	33963607	11348525	298622	73198
55_64	55-64	SE	Sweden	9799	1833	25657493	8332883	242987	60027
65_	65+	SE	Sweden	8687	1671	29991255	9893197	306926	76933
