country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IT	Italy	f	female	17263	4836	202019840	74277224	1051858	117997
IT	Italy	m	male	16704	4744	234394302	84379697	1209802	123840
IT	Italy	u	unknown	14341	4312	1280940	465853	7039	822
