spend_code	spend_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	ES	Spain	1502	118	4443885	807932	147490	0
50_100	50 - 100	ES	Spain	1501	117	13875	2522	460	0
100_1k	100 - 1k	ES	Spain	26	16	4531165	1815594	12554	3115
1k_5k	1k - 5k	ES	Spain	1	1	499999	200000	4999	1000
