advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	u25_34	unknown (25-34)	1338	1	346977	151933	2052	507
Kialo		729627343834501	Facebook	u25_34	unknown (25-34)	832	1	293112	114496	2180	537
People's Vote UK	People's Vote	748608695327755	Facebook	u25_34	unknown (25-34)	2633	1	218092	77461	2970	521
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	u25_34	unknown (25-34)	1766	1	183424	65702	2000	209
European Greens		141366725876424	Facebook	u25_34	unknown (25-34)	281	1	182026	79018	1171	292
Podemos	Unidas Podemos	269212336568846	Facebook	u25_34	unknown (25-34)	282	1	106926	48519	623	161
Greenpeace France		39435457457	Facebook	u25_34	unknown (25-34)	117	1	89452	40215	431	99
Médecins du Monde France		265420476920	Facebook	u25_34	unknown (25-34)	1088	1	76865	24179	1358	103
Best For Britain	Best for Britain	1863944713844924	Facebook	u25_34	unknown (25-34)	494	1	69892	29446	834	202
Ciudadanos	Ciudadanos	74078667754	Facebook	u25_34	unknown (25-34)	2446	1	69670	21263	714	50
Sosialidemokraatit SDP		108945982480217	Facebook	u25_34	unknown (25-34)	273	1	60578	23275	403	91
Plan International Sverige		382243262003	Facebook	u25_34	unknown (25-34)	304	1	59986	21009	445	110
The Labour Party	The Labour Party	25749647410	Facebook	u25_34	unknown (25-34)	476	1	56000	22302	423	85
Conservatives	The Conservative Party	8807334278	Facebook	u25_34	unknown (25-34)	714	1	54996	21140	566	86
Partido Popular	Partido Popular	72249031214	Facebook	u25_34	unknown (25-34)	742	1	50907	19327	285	44
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	u25_34	unknown (25-34)	607	1	47660	16218	465	60
sp.a	sp.a	57253967150	Facebook	u25_34	unknown (25-34)	286	1	46790	19584	207	49
European Commission		107898832590939	Facebook	u25_34	unknown (25-34)	68	1	41888	19105	235	66
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u25_34	unknown (25-34)	273	1	39772	15083	118	18
Greenpeace España	Greenpeace España	133044800622	Facebook	u25_34	unknown (25-34)	173	1	37580	14084	119	17
Greenpeace Deutschland		22541752487	Facebook	u25_34	unknown (25-34)	338	1	36763	13877	232	33
SPD	SPD	47930567748	Facebook	u25_34	unknown (25-34)	1127	1	35227	11529	641	48
38 Degrees	38 Degrees	200006375787	Facebook	u25_34	unknown (25-34)	606	1	34848	12801	239	35
WWF Suomi		119054448115588	Facebook	u25_34	unknown (25-34)	25	1	32718	15499	128	32
SPÖ	SPÖ	77393060080	Facebook	u25_34	unknown (25-34)	477	1	32371	10762	275	38
