advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	m55_64	male (55-64)	3888	1	12254560	3677677	136393	19397
European Parliament		178362315106	Facebook	m55_64	male (55-64)	1060	1	5743267	2533931	37024	8462
Ciudadanos	Ciudadanos	74078667754	Facebook	m55_64	male (55-64)	3833	1	5555736	1702574	52328	4317
We are the 52%	We are the 52%	466744973727718	Facebook	m55_64	male (55-64)	278	1	5293562	1932448	14767	1927
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m55_64	male (55-64)	398	1	4751486	1968908	21100	3981
People's Vote UK	People's Vote	748608695327755	Facebook	m55_64	male (55-64)	3295	1	4690899	1525038	76095	12725
Podemos	Unidas Podemos	269212336568846	Facebook	m55_64	male (55-64)	212	1	4172026	1895670	27085	7254
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m55_64	male (55-64)	90	1	3647876	1642773	8054	2329
SPD	SPD	47930567748	Facebook	m55_64	male (55-64)	4563	1	3495462	924477	79624	4247
Conservatives	The Conservative Party	8807334278	Facebook	m55_64	male (55-64)	1698	1	3348138	1263848	46448	5681
Partito Democratico	Partito Democratico	77034286895	Facebook	m55_64	male (55-64)	225	1	3196485	1358195	12529	2741
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m55_64	male (55-64)	2134	1	3150245	980705	57554	5805
The Labour Party	The Labour Party	25749647410	Facebook	m55_64	male (55-64)	646	1	3071475	1211652	28006	6049
38 Degrees	38 Degrees	200006375787	Facebook	m55_64	male (55-64)	656	1	2648842	948727	18238	2681
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m55_64	male (55-64)	65	1	2580997	1191700	5665	2517
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	m55_64	male (55-64)	141	1	2506043	1050901	4771	1251
The Brexit Party	The Brexit Party	230416667843105	Facebook	m55_64	male (55-64)	112	1	2230585	1049683	33472	9739
Partido Popular	Partido Popular	72249031214	Facebook	m55_64	male (55-64)	1236	1	2218958	820373	12150	1775
Best For Britain	Best for Britain	1863944713844924	Facebook	m55_64	male (55-64)	726	1	1975136	810885	30990	6854
sp.a	sp.a	57253967150	Facebook	m55_64	male (55-64)	270	1	1830814	693434	10403	2193
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m55_64	male (55-64)	118	1	1816007	786293	16058	3671
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	m55_64	male (55-64)	34	1	1693518	779340	4417	1187
România în primul rând	Future Innovation	770704223323599	Facebook	m55_64	male (55-64)	80	1	1679518	730740	2121	505
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	m55_64	male (55-64)	735	1	1642667	620629	27356	5033
FDP	FDP	21289227249	Facebook	m55_64	male (55-64)	1967	1	1634024	503706	16282	1051
