audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	188037	24895	786387224	293456944	5135074	780705
m18_24	male (18-24)	169500	23069	680600652	256425473	4148926	616813
f18_24	female (18-24)	170653	23374	623364653	236508807	3830698	574378
f25_34	female (25-34)	191269	25316	605847645	226490447	4215408	656001
m35_44	male (35-44)	190202	24671	584310637	214165645	4041696	606316
f35_44	female (35-44)	193881	25130	495721189	181877181	3705682	565250
m45_54	male (45-54)	185356	24018	485575356	172981294	3696076	534536
f45_54	female (45-54)	190701	24488	453102184	162061246	3615506	525295
f55_64	female (55-64)	181918	23232	398624216	139364893	3297339	450562
m55_64	male (55-64)	176319	22872	341579608	117938888	2822501	377315
f65_	female (65+)	164887	21191	288843708	99058033	2584878	362217
m65_	male (65+)	161042	20896	238594314	81255553	2086306	284637
f13_17	female (13-17)	22672	5208	58093665	21524506	246605	24453
m13_17	male (13-17)	23143	5172	49060961	18229590	231890	22588
u35_44	unknown (35-44)	131419	20305	11060894	3957826	92328	14393
u25_34	unknown (25-34)	117199	19161	8060232	2916294	63387	9781
u45_54	unknown (45-54)	120817	19008	6919840	2397138	70083	10544
u55_64	unknown (55-64)	101794	16469	4346296	1457544	49536	7194
u65_	unknown (65+)	94669	15407	4180215	1397157	47786	6864
u18_24	unknown (18-24)	80147	14589	2712539	968948	22897	3203
u13_17	unknown (13-17)	9240	2967	227577	79578	1387	116
