recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-12	2019-05-12	CZ	Czechia	870	153	2459147	821495	7255	1855
rd2	Last 2 days	2019-05-11	2019-05-12	CZ	Czechia	922	160	5123979	1731560	15775	4009
rd3	Last 3 days	2019-05-10	2019-05-12	CZ	Czechia	1811	168	10949109	3346544	37962	8798
rd4	Last 4 days	2019-05-09	2019-05-12	CZ	Czechia	1877	174	14161627	4575783	47793	11365
rd5	Last 5 days	2019-05-08	2019-05-12	CZ	Czechia	1964	183	16575700	5431034	55559	13374
rd6	Last 6 days	2019-05-07	2019-05-12	CZ	Czechia	2141	190	19816538	6589034	66099	15913
rw1	Last week	2019-05-06	2019-05-12	CZ	Czechia	2257	194	22344544	7426131	75267	18154
rw2	Last 2 weeks	2019-04-29	2019-05-12	CZ	Czechia	3086	276	38064018	13174226	132228	35638
rw3	Last 3 weeks	2019-04-22	2019-05-12	CZ	Czechia	3657	326	46328254	15709992	168955	45702
rw4	Last 4 weeks	2019-04-15	2019-05-12	CZ	Czechia	4183	402	56480238	19151146	205383	54766
rm1	Last month	2019-04-13	2019-05-12	CZ	Czechia	4268	424	58730339	20044113	216597	56990
rm2	Last 2 months	2019-03-14	2019-05-12	CZ	Czechia	5469	771	74137297	25770671	282621	70015
rm3	Last 3 months	2019-02-12	2019-05-12	CZ	Czechia	5818	840	77079598	26672046	289756	71244
rm6	Last 6 months	2019-01-01	2019-05-12	CZ	Czechia	5983	872	78194653	27033679	292778	72008
