advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Social Democrats	Social Democrats	1012851375393300	Facebook	0_50	0 - 50	IE	Ireland	16	1	308022	72772	1579	0
Malcolm Byrne	Malcolm Byrne Page	34812247970	Facebook	0_50	0 - 50	IE	Ireland	5	1	66786	15950	493	0
Matt Carthy	Carthy Matt	580216935345125	Facebook	0_50	0 - 50	IE	Ireland	2	1	59811	14953	197	0
Michael  O'Dowd for Europe	O'Dowd Michael Joseph	878147035569806	Facebook	0_50	0 - 50	IE	Ireland	2	1	50832	9967	197	0
Sinn Féin Ireland	Sinn Féin	148726998530273	Facebook	0_50	0 - 50	IE	Ireland	1	1	49843	9968	98	0
Paddy Monahan Soc Dems	Social Democrats	243736776300023	Facebook	0_50	0 - 50	IE	Ireland	1	1	49843	9968	98	0
Leo Varadkar T.D.	Fine Gael	178974912140818	Facebook	0_50	0 - 50	IE	Ireland	1	1	49843	9968	98	0
Green Party Ireland	Green Party Ireland	108339693065	Facebook	0_50	0 - 50	IE	Ireland	1	1	49843	9968	98	0
Jen Cummins Social Democrats	Social Democrats	359027571515876	Facebook	0_50	0 - 50	IE	Ireland	1	1	49843	9968	98	0
Dr. Fidelma Healy Eames Independent Candidate, EU elections	Healy Eames Fidelma	395965057626422	Facebook	0_50	0 - 50	IE	Ireland	9	1	37872	9968	888	0
Sean Kelly MEP	Sean Kelly MEP	340786422717552	Facebook	0_50	0 - 50	IE	Ireland	7	1	22921	3987	690	0
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	0_50	0 - 50	IE	Ireland	3	1	19934	6978	296	0
Denise McMorrow for Dublin 2019	Mc Morrow Denise	438930423601172	Facebook	0_50	0 - 50	IE	Ireland	4	1	15946	2990	394	0
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	0_50	0 - 50	IE	Ireland	2	1	14951	5981	197	0
Blaine Gaffney	Blaine O' Gamhna	371962112988652	Facebook	0_50	0 - 50	IE	Ireland	2	1	14951	5981	197	0
Paul Nolan - Social Democrats Meath East	King John	1838758749501583	Facebook	0_50	0 - 50	IE	Ireland	3	1	11959	4984	296	0
Alex White	Mc Kinney Eunan Anthony	58389344622	Facebook	0_50	0 - 50	IE	Ireland	1	1	9967	4984	98	0
Cllr.June Murphy Social Democrat candidate	Social Democrats	196651674600841	Facebook	0_50	0 - 50	IE	Ireland	1	1	9967	4984	98	0
Gary Gannon 4 Europe	The Gary Gannon 4 Europe Campaign	691388720903801	Facebook	0_50	0 - 50	IE	Ireland	2	1	9966	1993	197	0
Barry Andrews for Europe	Barry Andrews	188114061407	Facebook	0_50	0 - 50	IE	Ireland	5	1	8967	996	493	0
Sharon Nolan	Nolan Sharon Kathryn	399903233737537	Facebook	0_50	0 - 50	IE	Ireland	2	1	5979	996	197	0
Adrienne Wallace - People Before Profit	Wallace Adrienne Catherine	1555518121383424	Facebook	0_50	0 - 50	IE	Ireland	2	1	5979	996	197	0
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	0_50	0 - 50	IE	Ireland	1	1	4983	996	98	0
Eoin Barry For Laois Council 2019	Barry Eoin	469695723432344	Facebook	0_50	0 - 50	IE	Ireland	1	1	4983	996	98	0
Liam Boyle Labour	Ó BAOILL ANDREW	555153594978666	Facebook	0_50	0 - 50	IE	Ireland	1	1	4983	996	98	0
