advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	1k_5k	1k - 5k	SK	Slovakia	256	1	1278793	255809	25325	0
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	1k_5k	1k - 5k	SK	Slovakia	112	1	557909	111604	11048	0
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	1k_5k	1k - 5k	SK	Slovakia	69	1	344829	68979	6828	0
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	1k_5k	1k - 5k	SK	Slovakia	64	1	319665	63945	6330	0
NÁRODNÁ KOALÍCIA	NÁRODNÁ KOALÍCIA	145677979100505	Facebook	1k_5k	1k - 5k	SK	Slovakia	61	1	304939	61000	6039	0
Eurovoľby	Richard Sulik	2376963545647566	Facebook	1k_5k	1k - 5k	SK	Slovakia	54	1	269945	53999	5345	0
Zora Jaurová • Progresívne Slovensko		267456060571592	Facebook	1k_5k	1k - 5k	SK	Slovakia	49	1	244801	48970	4848	0
Miroslav Žiak		396331590493376	Facebook	1k_5k	1k - 5k	SK	Slovakia	44	1	219956	44000	4356	0
Dominik Hatiar • Mladí za lepšiu Európu		1795556150546258	Facebook	1k_5k	1k - 5k	SK	Slovakia	37	1	183738	36755	3638	0
Peter Puškár	Puskar Peter	299027620531773	Facebook	1k_5k	1k - 5k	SK	Slovakia	34	1	169965	33999	3365	0
Michal Považan - kandidát do Európskeho parlamentu za KDH		1183320988494283	Facebook	1k_5k	1k - 5k	SK	Slovakia	27	1	134972	26999	2672	0
Michal Liptaj kandidát do Európskeho parlamentu		211966999713636	Facebook	1k_5k	1k - 5k	SK	Slovakia	25	1	124975	25000	2475	0
Miroslav Beblavý SPOLU - občianska demokracia	SPOLU - občianska demokracia	312985238719495	Facebook	1k_5k	1k - 5k	SK	Slovakia	23	1	114976	22999	2276	0
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	1k_5k	1k - 5k	SK	Slovakia	22	1	109230	21850	2163	0
Slovenská národná strana	Slovenská národná strana	121130481252381	Facebook	1k_5k	1k - 5k	SK	Slovakia	20	1	99979	19999	1979	0
EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	1k_5k	1k - 5k	SK	Slovakia	18	1	89982	18000	1782	0
Miriam Kuzárová, kandidátka do Európskeho parlamentu	KDH	137416183351336	Facebook	1k_5k	1k - 5k	SK	Slovakia	18	1	89943	17992	1781	0
DOMA DOBRE	Pribocký Jozef	115166009100692	Facebook	1k_5k	1k - 5k	SK	Slovakia	17	1	84983	16999	1682	0
Magyar Kereszténydemokrata Szövetség	Magyar Kereszténydemokrata Szövetség	124771041038345	Facebook	1k_5k	1k - 5k	SK	Slovakia	14	1	69985	13999	1385	0
Igor Melicher - Mladí Sociálni Demokrati	Robert Bestro	2687957954762822	Facebook	1k_5k	1k - 5k	SK	Slovakia	14	1	69985	13999	1385	0
Ľubomír Šesták - volím č.8	Sestak Lubomir	713479689049720	Facebook	1k_5k	1k - 5k	SK	Slovakia	14	1	69985	13999	1385	0
EURACTIV.sk		53798312370	Facebook	1k_5k	1k - 5k	SK	Slovakia	14	1	68192	13641	1350	0
Lucia Nicholsonová verí v zdravý rozum	Richard Sulik	714437508635046	Facebook	1k_5k	1k - 5k	SK	Slovakia	13	1	64987	13000	1265	0
Sloboda a Solidarita	Richard Sulik	71030757230	Facebook	1k_5k	1k - 5k	SK	Slovakia	13	1	64986	12999	1286	0
Andrej Danko - predseda SNS	Slovenská národná strana	1495199624026639	Facebook	1k_5k	1k - 5k	SK	Slovakia	12	1	59987	11999	1187	0
