country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	zagreb	Zagreb	2474	631	4005319	1336520	15130	1230
HR	Croatia	istria_county	Istria County	1947	487	1085796	271454	4483	324
HR	Croatia	split_dalmatia_county	Split-Dalmatia County	2093	556	859163	299453	2895	192
HR	Croatia	osijek_baranja_county	Osijek-Baranja County	1958	507	524239	159189	2183	89
HR	Croatia	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	2049	537	478885	121622	1875	51
HR	Croatia	dubrovnik_neretva_county	Dubrovnik-Neretva County	1792	465	153767	36224	805	6
HR	Croatia	brod_posavina_county	Brod-Posavina County	1645	417	140933	41629	712	13
HR	Croatia	varazdin_county	Varaždin County	1750	422	128001	38555	1064	15
HR	Croatia	zagreb_county	Zagreb County	1703	409	114604	32574	415	10
HR	Croatia	bjelovar_bilogora_county	Bjelovar-Bilogora County	1542	385	97985	26346	482	6
HR	Croatia	vukovar_srijem_county	Vukovar-Srijem County	1651	416	97805	37931	474	17
HR	Croatia	krapina_zagorje_county	Krapina-Zagorje County	1509	363	68638	15878	249	3
HR	Croatia	zadar_county	Zadar County	1808	469	64127	21505	181	13
HR	Croatia	medimurje_county	Međimurje County	1614	408	62345	24748	355	9
HR	Croatia	virovitica_podravina_county	Virovitica-Podravina County	1451	347	50407	18693	497	4
HR	Croatia	lika_senj_county	Lika-Senj County	1290	319	42465	9098	83	0
HR	Croatia	sisak_moslavina_county	Sisak-Moslavina County	1617	395	41790	15365	149	10
HR	Croatia	karlovac_county	Karlovac County	1615	401	36082	14098	256	6
HR	Croatia	pozega_slavonia_county	Požega-Slavonia County	1446	345	27677	8896	204	2
HR	Croatia	sibenik_knin_county	Šibenik-Knin County	1612	395	26900	8339	181	4
HR	Croatia	koprivnica_krizevci_county	Koprivnica-Križevci County	1560	380	21564	7514	163	5
