day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d133	2019-05-13	28533	3321	94226622	32834602	640926	74025
d132	2019-05-12	31484	3725	120000536	42297612	769336	95850
d131	2019-05-11	32139	3891	128179749	45706405	817061	107568
d130	2019-05-10	33758	4045	140987037	49772107	880677	125182
d129	2019-05-09	34255	3962	129567311	45309886	926596	115515
d128	2019-05-08	31320	3767	116783876	41044966	805152	104434
d127	2019-05-07	29620	3750	115136070	41270274	804338	105611
d126	2019-05-06	26956	3586	114880670	42307307	701803	107302
d125	2019-05-05	29073	3557	162712370	39721441	1011707	109567
d124	2019-05-04	28784	3531	169056471	41610029	959064	101904
d123	2019-05-03	29517	3724	200544711	52288478	1196706	143688
d122	2019-05-02	31423	4096	174767125	40697838	1148869	101543
d121	2019-05-01	25978	4016	142092047	32555511	881818	93144
d120	2019-04-30	27909	4108	154469285	35222485	930092	91140
d119	2019-04-29	23585	3939	124345656	35045519	747831	94113
d118	2019-04-28	21560	3755	93960410	25201528	585301	67150
d117	2019-04-27	21069	3770	91960698	24999127	518452	63333
d116	2019-04-26	28559	3795	300898388	66748343	1571236	198980
d115	2019-04-25	27619	3719	188028290	51566567	1451296	154130
d114	2019-04-24	24465	3614	161747098	43019814	1195400	114733
d113	2019-04-23	21918	3534	140881385	36492414	946294	91649
d112	2019-04-22	18869	3447	111974273	28184017	602652	61140
d111	2019-04-21	17593	3518	101583691	25235382	546195	50266
d110	2019-04-20	17798	3684	98712931	23989347	554524	50855
d109	2019-04-19	18471	3873	92792443	23527787	525400	50787
d108	2019-04-18	18693	3976	100145235	24589200	615030	52614
d107	2019-04-17	17879	4025	82477220	23556333	554381	54471
d106	2019-04-16	16961	4155	84892588	25515670	528615	56562
d105	2019-04-15	16340	4507	89596582	28956060	546331	71314
d104	2019-04-14	15510	4618	75137536	20421623	475310	44208
