day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d133	2019-05-13	28533	3321	94226622	32834602	640926	74025
d132	2019-05-12	31484	3725	120000536	42297612	769336	95850
d131	2019-05-11	32139	3891	128179749	45706405	817061	107568
d130	2019-05-10	33758	4045	140987037	49772107	880677	125182
d129	2019-05-09	34255	3962	129567311	45309886	926596	115515
d128	2019-05-08	31320	3767	116783876	41044966	805152	104434
d127	2019-05-07	29620	3750	115136070	41270274	804338	105611
d126	2019-05-06	26956	3586	114880670	42307307	701803	107302
d125	2019-05-05	29073	3557	162712370	39721441	1011707	109567
d124	2019-05-04	28784	3531	169056471	41610029	959064	101904
