advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rw4	Last 4 weeks	556	1	154215443	69951999	802409	218781
Podemos	Unidas Podemos	269212336568846	Facebook	rw4	Last 4 weeks	299	1	83263801	36874114	504909	133595
Partido Popular	Partido Popular	72249031214	Facebook	rw4	Last 4 weeks	2259	1	56640308	21637499	427933	57600
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rw4	Last 4 weeks	235	1	48137698	21483714	108653	24348
COALICION CANARIA		AR489541609348661248	Google	rw4	Last 4 weeks	4542	1	43353832	485526	194920	0
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rw4	Last 4 weeks	96	1	39085716	17824761	87062	24683
CDU	CDU	78502295414	Facebook	rw4	Last 4 weeks	3170	1	38647830	9275000	347030	8300
FDP	FDP	21289227249	Facebook	rw4	Last 4 weeks	2804	1	38114154	11642743	343674	19399
Ciudadanos	Ciudadanos	74078667754	Facebook	rw4	Last 4 weeks	3980	1	37673354	10793333	506338	28616
sp.a	sp.a	57253967150	Facebook	rw4	Last 4 weeks	408	1	37491327	15350026	174489	38689
AMERISOFT SRL		AR573801583431647232	Google	rw4	Last 4 weeks	154	1	34235747	3385035	6699	0
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rw4	Last 4 weeks	129	1	30687674	12786009	119594	39116
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rw4	Last 4 weeks	412	1	29949588	12247000	142338	26589
European Greens		141366725876424	Facebook	rw4	Last 4 weeks	128	1	28303013	12567642	169472	41596
România în primul rând	Future Innovation	770704223323599	Facebook	rw4	Last 4 weeks	66	1	28186600	12473333	28714	7115
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	rw4	Last 4 weeks	1969	1	26170000	719999	98450	0
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rw4	Last 4 weeks	57	1	24505278	11293000	56307	25096
Kialo		729627343834501	Facebook	rw4	Last 4 weeks	372	1	24241628	8413000	133833	28165
mmb media agentur d.o.o.		AR524572049809604608	Google	rw4	Last 4 weeks	1437	1	24089999	1030000	71849	0
SPD	SPD	47930567748	Facebook	rw4	Last 4 weeks	5654	1	23978775	5516714	613603	15451
PSOE	PSOE	189318235003	Facebook	rw4	Last 4 weeks	335	1	23696062	9489688	74487	13876
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rw4	Last 4 weeks	91	1	23146753	10110186	207676	47703
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rw4	Last 4 weeks	53	1	22137725	10290888	170536	46077
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rw4	Last 4 weeks	1576	1	21540096	6820411	249832	25333
SPÖ	SPÖ	77393060080	Facebook	rw4	Last 4 weeks	796	1	20598671	7051057	164246	25259
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	rw4	Last 4 weeks	92	1	20030910	8666999	31843	8703
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	rw4	Last 4 weeks	792	1	18460714	1262494	35086	0
Partito Democratico	Partito Democratico	77034286895	Facebook	rw4	Last 4 weeks	171	1	17269829	7214999	52129	9499
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rw4	Last 4 weeks	783	1	16384217	6343999	228217	42816
Fidesz	Fidesz	9844779306	Facebook	rw4	Last 4 weeks	84	1	16351916	7730000	52312	25692
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rw4	Last 4 weeks	989	1	16102893	5284186	228330	36136
Open Vld	Open Vld	53668151866	Facebook	rw4	Last 4 weeks	388	1	15987570	5936536	115613	23228
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rw4	Last 4 weeks	26	1	15799974	7299999	53974	13800
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	rw4	Last 4 weeks	146	1	15259354	6049000	52804	11400
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rw4	Last 4 weeks	77	1	14687922	6183000	22622	4300
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rw4	Last 4 weeks	72	1	14559927	6344999	81427	19899
The Brexit Party	The Brexit Party	230416667843105	Facebook	rw4	Last 4 weeks	112	1	13972888	6418000	228762	66422
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rw4	Last 4 weeks	255	1	13215316	5027714	26384	9399
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	rw4	Last 4 weeks	71	1	13154835	5424095	10660	3388
Greenpeace France		39435457457	Facebook	rw4	Last 4 weeks	25	1	12857975	5861000	51375	12900
ČSSD	ČSSD	111041662264882	Facebook	rw4	Last 4 weeks	2326	1	12604674	2852999	63157	14413
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	rw4	Last 4 weeks	483	1	12437860	4766984	45045	10397
Romania #nuepsd	Future Innovation	293215748279337	Facebook	rw4	Last 4 weeks	34	1	12259966	5681666	7998	3403
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	rw4	Last 4 weeks	61	1	11922996	5147101	9598	3147
Mediabrands Digital OÜ		AR530356305605427200	Google	rw4	Last 4 weeks	336	1	11819999	939999	16800	0
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	rw4	Last 4 weeks	91	1	11475737	4996414	31616	7641
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	rw4	Last 4 weeks	122	1	11387055	5392588	46219	9099
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rw4	Last 4 weeks	240	1	11146760	3910000	36859	3600
