recent_code	recent_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-17	2019-05-17	44019	4290	170189500	60356998	1223584	144721
rd2	Last 2 days	2019-05-16	2019-05-17	47467	4620	366790265	129443445	2637019	314653
rd3	Last 3 days	2019-05-15	2019-05-17	50696	4903	547672152	192622489	3835403	477617
rd4	Last 4 days	2019-05-14	2019-05-17	53796	5153	729012711	257710321	4976069	647301
rd5	Last 5 days	2019-05-13	2019-05-17	57380	5344	888753018	315439401	6038438	805375
rd6	Last 6 days	2019-05-12	2019-05-17	65987	5650	1043273350	364186579	6876823	931726
rw1	Last week	2019-05-11	2019-05-17	68658	5857	1195154210	413206417	7725373	1063524
rw2	Last 2 weeks	2019-05-04	2019-05-17	95487	7417	2104604117	708629395	13098130	1845887
rw3	Last 3 weeks	2019-04-27	2019-05-17	116677	9587	2710571974	915477491	17192804	2423993
rw4	Last 4 weeks	2019-04-20	2019-05-17	139534	11157	3369651274	1146960767	21557505	3058233
rm1	Last month	2019-04-18	2019-05-17	144301	11683	3497248907	1189109776	22386466	3154985
rm2	Last 2 months	2019-03-19	2019-05-17	196808	21534	4983405475	1707498546	32286373	4507313
rm3	Last 3 months	2019-02-17	2019-05-17	216721	24392	5563098575	1918420614	36502344	5107796
rm6	Last 6 months	2019-01-01	2019-05-17	229332	25060	5942031382	2053514000	39608883	5582649
