advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	u	unknown	407	1	493586	218947	2823	673
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	u	unknown	3986	1	218310	60638	2922	171
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	u	unknown	209	1	217764	89718	3397	833
European Greens	European Greens	141366725876424	Facebook	u	unknown	79	1	198198	90266	1998	494
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	u	unknown	57	1	169282	75738	1112	252
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	u	unknown	58	1	162997	71115	960	237
Moderaterna	Moderaterna	7719591155	Facebook	u	unknown	134	1	127023	52237	2209	530
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	u	unknown	592	1	111712	31709	2082	171
European Commission	European Commission	107898832590939	Facebook	u	unknown	91	1	109643	51507	391	111
Conservatives	The Conservative Party	8807334278	Facebook	u	unknown	1194	1	108974	25391	3513	104
Gouvernement	Gouvernement	392341217527576	Facebook	u	unknown	40	1	107389	46650	837	187
The Labour Party	The Labour Party	25749647410	Facebook	u	unknown	178	1	94563	40065	985	181
Ciudadanos	Ciudadanos	74078667754	Facebook	u	unknown	112	1	88811	35230	1174	246
Amnesty International UK	Amnesty International UK	7624294394	Facebook	u	unknown	383	1	88287	18028	2324	75
CDU	CDU	78502295414	Facebook	u	unknown	7371	1	81579	19377	2362	9
Avaaz	Avaaz	8340223883	Facebook	u	unknown	107	1	74289	31939	452	106
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	u	unknown	46	1	65969	28538	881	256
To Potami	To Potami	240638659452549	Facebook	u	unknown	19	1	59975	27222	332	82
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	u	unknown	89	1	58078	21425	454	122
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	u	unknown	117	1	53932	19720	779	247
Open Vld	Open Vld	53668151866	Facebook	u	unknown	111	1	52520	21627	561	138
INBOX	New Digital Media	369693523475596	Facebook	u	unknown	68	1	50766	22567	71	7
People's Vote UK	People's Vote	748608695327755	Facebook	u	unknown	53	1	50363	20592	761	211
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	u	unknown	44	1	47191	21306	544	127
Podemos	UNIDAS PODEMOS CAMBIAR EUROPA	269212336568846	Facebook	u	unknown	13	1	45617	22129	734	168
